"archive","asset_name","download_url","source_key","title","part","file_count","source_mb","zip_mb","largest_file_mb"
"archives/raw_results_20260613/figures_acceptance_demo_part01.zip","figures_acceptance_demo_part01.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_acceptance_demo_part01.zip","figures_acceptance_demo","验收演示原始动图与设置图","1","14","73.45","72.02","11.84"
"archives/raw_results_20260613/figures_acceptance_demo_part02.zip","figures_acceptance_demo_part02.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_acceptance_demo_part02.zip","figures_acceptance_demo","验收演示原始动图与设置图","2","18","73.82","72.47","11.89"
"archives/raw_results_20260613/figures_acceptance_demo_part03.zip","figures_acceptance_demo_part03.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_acceptance_demo_part03.zip","figures_acceptance_demo","验收演示原始动图与设置图","3","14","76.96","75.55","18.42"
"archives/raw_results_20260613/figures_acceptance_demo_part04.zip","figures_acceptance_demo_part04.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_acceptance_demo_part04.zip","figures_acceptance_demo","验收演示原始动图与设置图","4","7","23.97","23.74","8.71"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part01.zip","figures_defense_reward_training_stage_part01.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part01.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","1","26","34.93","32.82","3.03"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part02.zip","figures_defense_reward_training_stage_part02.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part02.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","2","15","32.73","28.73","3.16"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part03.zip","figures_defense_reward_training_stage_part03.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part03.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","3","15","34.34","30.69","3.2"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part04.zip","figures_defense_reward_training_stage_part04.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part04.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","4","14","30.49","26.99","3.16"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part05.zip","figures_defense_reward_training_stage_part05.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part05.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","5","5","32.26","29.07","6.45"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part06.zip","figures_defense_reward_training_stage_part06.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part06.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","6","5","32.26","26.57","6.45"
