branch,role,G_gate,P_pbrs,E_low_entropy,V_val78,primary_generalization_mean,all_benchmark_mean,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissviewmonuments_aerial_ground,masa_d4,masa_d5,masa_d6,masa_d7,masa_d8,checkpoint
g1_p1_e1_v1,full_anchor0624,1,1,1,1,0.621102,0.614481,0.588000,0.617021,0.639149,0.624681,0.603556,0.200000,0.340000,0.640000,0.820000,0.940000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e1_v1_seed321_t480k/geoexplorer.pt
g1_p0_e1_v1,factorial_ablation_cell,1,0,1,1,0.589640,0.589312,0.588000,0.596596,0.611915,0.594894,0.555156,0.260000,0.360000,0.660000,0.820000,0.840000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e1_v1_seed321_t480k/geoexplorer.pt
g1_p0_e0_v1,factorial_ablation_cell,1,0,0,1,0.586512,0.600410,0.656000,0.612766,0.588936,0.597447,0.546900,0.260000,0.520000,0.740000,0.880000,0.880000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e0_v1_seed321_t480k/geoexplorer.pt
g1_p1_e0_v0,factorial_ablation_cell,1,1,0,0,0.580996,0.581597,0.584000,0.603404,0.605957,0.560000,0.554622,0.220000,0.400000,0.680000,0.740000,0.880000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e0_v0_seed321_t480k/geoexplorer.pt
g0_p0_e1_v1,factorial_ablation_cell,0,0,1,1,0.571923,0.594338,0.684000,0.586383,0.594043,0.549787,0.557478,0.320000,0.460000,0.800000,0.860000,0.980000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p0_e1_v1_seed321_t480k/geoexplorer.pt
g0_p0_e0_v0,same_data_no_added_mechanism_control,0,0,0,0,0.554487,0.553190,0.548000,0.565106,0.571064,0.538723,0.543056,0.160000,0.360000,0.620000,0.760000,0.840000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p0_e0_v0_seed321_t480k/geoexplorer.pt
g1_p0_e0_v0,factorial_ablation_cell,1,0,0,0,0.526502,0.542002,0.604000,0.534468,0.532766,0.526809,0.511967,0.420000,0.500000,0.700000,0.760000,0.640000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e0_v0_seed321_t480k/geoexplorer.pt
g0_p0_e0_v1,factorial_ablation_cell,0,0,0,1,0.522692,0.534153,0.580000,0.540426,0.529362,0.517447,0.503533,0.280000,0.480000,0.660000,0.680000,0.800000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p0_e0_v1_seed321_t480k/geoexplorer.pt
g0_p1_e1_v0,factorial_ablation_cell,0,1,1,0,0.501352,0.513082,0.560000,0.497021,0.507234,0.501277,0.499878,0.320000,0.420000,0.700000,0.700000,0.660000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e1_v0_seed321_t480k/geoexplorer.pt
g1_p0_e1_v0,factorial_ablation_cell,1,0,1,0,0.483483,0.488386,0.508000,0.481702,0.475745,0.468085,0.508400,0.340000,0.420000,0.600000,0.500000,0.680000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e1_v0_seed321_t480k/geoexplorer.pt
g1_p1_e0_v1,factorial_ablation_cell,1,1,0,1,0.483381,0.502705,0.580000,0.490213,0.489362,0.457872,0.496078,0.300000,0.440000,0.580000,0.660000,0.920000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e0_v1_seed321_t480k/geoexplorer.pt
g0_p1_e0_v1,factorial_ablation_cell,0,1,0,1,0.478809,0.476647,0.468000,0.480000,0.506383,0.468085,0.460767,0.260000,0.420000,0.660000,0.540000,0.460000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e0_v1_seed321_t480k/geoexplorer.pt
g0_p1_e0_v0,factorial_ablation_cell,0,1,0,0,0.439523,0.448418,0.484000,0.431489,0.466383,0.432340,0.427878,0.380000,0.420000,0.600000,0.520000,0.500000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e0_v0_seed321_t480k/geoexplorer.pt
g0_p0_e1_v0,factorial_ablation_cell,0,0,1,0,0.434966,0.448773,0.504000,0.440000,0.427234,0.438298,0.434333,0.500000,0.440000,0.600000,0.540000,0.440000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p0_e1_v0_seed321_t480k/geoexplorer.pt
g1_p1_e1_v0,factorial_ablation_cell,1,1,1,0,0.384833,0.398266,0.452000,0.400851,0.372766,0.361702,0.404011,0.340000,0.540000,0.600000,0.500000,0.280000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e1_v0_seed321_t480k/geoexplorer.pt
g0_p1_e1_v1,factorial_ablation_cell,0,1,1,1,0.354716,0.345373,0.308000,0.361702,0.367660,0.325957,0.363544,0.260000,0.320000,0.360000,0.360000,0.240000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e1_v1_seed321_t480k/geoexplorer.pt
