case_id,method_key,gp_condition,success,distance,final_distance,path_length,sum_ext,sum_int_gated,sum_p,sum_total
img011_d4_s03_g11_r0,g1_p1_e1_v1,G on + P on,True,4,0,4,5.0,0.41408695578575083,0.055249999999999994,5.469336955785751
img025_d4_s12_g00_r0,g1_p1_e1_v1,G on + P on,False,4,8,10,-8.0,-0.16107848905027128,0.005124999999999949,-8.15595348905027
img006_d6_s24_g06_r0,g1_p1_e1_v1,G on + P on,True,6,0,6,7.0,-0.055532005081574964,0.088125,7.032592994918425
img050_d6_s14_g00_r0,g1_p1_e1_v1,G on + P on,False,6,8,10,-4.0,2.3871644518772746,0.019624999999999965,-1.5932105481227263
img000_d8_s24_g00_r0,g1_p1_e1_v1,G on + P on,True,8,0,8,9.0,2.430597573593258,0.12449999999999999,11.555097573593256
img054_d8_s20_g04_r0,g1_p1_e1_v1,G on + P on,False,8,4,10,0.0,1.8638042904436576,0.08937499999999997,1.9531792904436571
img189_d6_s20_g14_r0,g1_p1_e1_v1,G on + P on,True,6,0,10,5.0,3.3276121887067935,0.09687499999999998,8.424487188706795
img011_d4_s03_g11_r0,g1_p0_e1_v1,G on only,True,4,0,4,5.0,0.41408695578575083,0.0,5.41408695578575
img025_d4_s12_g00_r0,g1_p0_e1_v1,G on only,False,4,6,10,-8.0,0.004299886450169321,0.0,-7.995700113549829
img006_d6_s24_g06_r0,g1_p0_e1_v1,G on only,True,6,0,6,7.0,-0.055532005081574964,0.0,6.944467994918425
img050_d6_s14_g00_r0,g1_p0_e1_v1,G on only,False,6,6,10,-4.0,2.4171914211908954,0.0,-1.5828085788091044
img000_d8_s24_g00_r0,g1_p0_e1_v1,G on only,True,8,0,8,9.0,2.4682570176944125,0.0,11.468257017694413
img054_d8_s20_g04_r0,g1_p0_e1_v1,G on only,True,8,0,8,9.0,1.7484747110679735,0.0,10.748474711067974
img189_d6_s20_g14_r0,g1_p0_e1_v1,G on only,False,6,2,10,2.0,2.913529748320578,0.0,4.9135297483205775
img011_d4_s03_g11_r0,g0_p0_e1_v1,G off + P off,True,4,0,4,5.0,0.5053328275680533,0.0,5.505332827568053
img025_d4_s12_g00_r0,g0_p0_e1_v1,G off + P off,False,4,6,10,-8.0,0.36836415529250877,0.0,-7.631635844707491
img006_d6_s24_g06_r0,g0_p0_e1_v1,G off + P off,True,6,0,6,7.0,-0.15503722429275646,0.0,6.844962775707244
img050_d6_s14_g00_r0,g0_p0_e1_v1,G off + P off,False,6,6,10,-2.0,2.7732694149017316,0.0,0.7732694149017321
img000_d8_s24_g00_r0,g0_p0_e1_v1,G off + P off,True,8,0,8,9.0,3.5528568029403678,0.0,12.552856802940367
img054_d8_s20_g04_r0,g0_p0_e1_v1,G off + P off,True,8,0,8,9.0,2.179812252521513,0.0,11.179812252521513
img189_d6_s20_g14_r0,g0_p0_e1_v1,G off + P off,False,6,2,10,0.0,4.943271279335021,0.0,4.943271279335021
img011_d4_s03_g11_r0,g0_p1_e1_v1,P on only,True,4,0,4,5.0,0.5053328275680533,0.055249999999999994,5.560582827568053
img025_d4_s12_g00_r0,g0_p1_e1_v1,P on only,False,4,2,10,-6.0,0.3940266370773293,0.07137499999999997,-5.534598362922671
img006_d6_s24_g06_r0,g0_p1_e1_v1,P on only,True,6,0,10,5.0,-0.12069106101989968,0.09687499999999998,4.9761839389801015
img050_d6_s14_g00_r0,g0_p1_e1_v1,P on only,False,6,6,10,-4.0,2.7413237094879133,0.042874999999999976,-1.2158012905120865
img000_d8_s24_g00_r0,g0_p1_e1_v1,P on only,False,8,2,10,4.0,4.72162902355194,0.10562499999999998,8.82725402355194
img054_d8_s20_g04_r0,g0_p1_e1_v1,P on only,False,8,2,10,4.0,2.2393521666526772,0.10387499999999997,6.343227166652678
img189_d6_s20_g14_r0,g0_p1_e1_v1,P on only,False,6,2,10,0.0,5.258823037147521,0.07362499999999997,5.332448037147521
