family,value,run,benchmark,d4,d5,d6,d7,d8,checkpoint
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,masa_aerial,0.300000,0.320000,0.520000,0.640000,0.520000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,mmgag_aerial,0.370213,0.417021,0.514894,0.608511,0.595745,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,mmgag_ground,0.348936,0.421277,0.531915,0.561702,0.600000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,mmgag_text,0.340426,0.408511,0.531915,0.561702,0.553191,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,swissview100_aerial,0.438000,0.460000,0.532000,0.498000,0.252000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,swissviewmonuments_aerial,0.392000,0.463889,0.530000,0.566667,0.450000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,swissviewmonuments_ground,0.405333,0.491667,0.563333,0.583333,0.450000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,xbd_pre_aerial,0.351250,0.407500,0.507000,0.536250,0.497000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,xbd_disaster_aerial,0.369500,0.420250,0.512000,0.556000,0.521500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,masa_aerial,0.320000,0.380000,0.520000,0.680000,0.660000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,mmgag_aerial,0.327660,0.463830,0.561702,0.595745,0.514894,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,mmgag_ground,0.314894,0.438298,0.544681,0.634043,0.540426,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,mmgag_text,0.302128,0.429787,0.536170,0.531915,0.489362,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,swissview100_aerial,0.420000,0.444000,0.594000,0.572000,0.384000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,swissviewmonuments_aerial,0.344000,0.444444,0.556667,0.566667,0.366667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,swissviewmonuments_ground,0.349333,0.427778,0.560000,0.622222,0.450000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
