family,value,run,group,trainset_key,seed,target_steps,mean_all_sg,mean_transfer_sg,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.914089,1.894779,1.896000,1.827234,1.793191,1.887660,2.243600,1.878431,1.800784,1.980950,1.918950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.915001,1.939025,1.684000,1.859574,1.838298,2.030638,2.066400,1.979608,1.915294,1.940150,1.921050,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.566891,1.635104,1.544000,1.462979,1.445957,1.531064,1.577600,1.703529,1.630588,1.642550,1.563750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.960849,1.876539,2.200000,1.968511,2.014468,2.081702,1.876800,1.883922,1.708235,1.963200,1.950800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.400,gate_floor_dense_0p4_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.364075,1.441560,1.240000,1.227234,1.248511,1.311489,1.483200,1.537255,1.520784,1.365600,1.342600,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p4_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.600,gate_floor_dense_0p6_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.356653,1.449010,1.228000,1.218723,1.221277,1.310638,1.435200,1.596863,1.556078,1.332250,1.310850,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p6_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.445964,1.505989,1.328000,1.302979,1.337021,1.535319,1.486400,1.559216,1.540392,1.488300,1.436050,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.327726,1.419154,1.156000,1.268085,1.220426,1.286809,1.341600,1.555294,1.443922,1.371100,1.306300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,1.913451,1.828636,1.928000,1.834043,1.908936,1.992340,2.243200,1.812549,1.715294,1.908750,1.877950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,2.158124,2.153159,1.884000,2.229787,2.184681,2.286809,2.225200,2.166275,2.021961,2.217600,2.206800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
