family,value,run,group,trainset_key,seed,target_steps,mean_all_sr,mean_transfer_sr,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
gate_floor_dense,0.000,gate_floor_dense_0_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.474568,0.475481,0.460000,0.501277,0.492766,0.479149,0.436000,0.472157,0.494118,0.459800,0.475850,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.481297,0.472941,0.512000,0.492766,0.494468,0.457872,0.482800,0.454902,0.464314,0.483950,0.488600,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.512962,0.495020,0.532000,0.539574,0.527660,0.515745,0.521600,0.474510,0.483922,0.502300,0.519350,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.468627,0.475516,0.420000,0.461277,0.465532,0.452766,0.516000,0.458039,0.501176,0.469900,0.472950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.400,gate_floor_dense_0p4_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.555035,0.544869,0.576000,0.589787,0.573617,0.547234,0.529200,0.524706,0.521569,0.561350,0.571850,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p4_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.600,gate_floor_dense_0p6_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.549747,0.528481,0.584000,0.590638,0.571064,0.554894,0.533200,0.485490,0.493333,0.562450,0.572650,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p6_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.508412,0.492965,0.544000,0.535319,0.535319,0.486809,0.502400,0.461961,0.480000,0.506800,0.523100,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.560763,0.537050,0.604000,0.572766,0.590638,0.567660,0.563600,0.496471,0.516078,0.558500,0.577150,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.458182,0.467761,0.472000,0.471489,0.448511,0.436596,0.424000,0.461176,0.479216,0.462150,0.468500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
gate_floor_dense,1.000,gate_floor_dense_1_seed321_t480k,gate_floor_dense,masa_plus_mmgag,321,480000,0.356425,0.362282,0.400000,0.343830,0.333617,0.320851,0.360400,0.363137,0.378039,0.346600,0.361350,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_1_seed321_t480k/geoexplorer.pt
val_dists_bias,4,val_dists_4_seed321_t480k,val_dists_bias,masa_plus_mmgag,321,480000,0.444103,0.446842,0.440000,0.456170,0.449362,0.420426,0.443600,0.443137,0.465882,0.434150,0.444200,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_4_seed321_t480k/geoexplorer.pt
val_dists_bias,"4,5",val_dists_45_seed321_t480k,val_dists_bias,masa_plus_mmgag,321,480000,0.431102,0.454025,0.440000,0.409362,0.424681,0.382979,0.406800,0.466667,0.478431,0.432050,0.438950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_45_seed321_t480k/geoexplorer.pt
val_dists_bias,"4,5,6",val_dists_456_seed321_t480k,val_dists_bias,masa_plus_mmgag,321,480000,0.481888,0.495946,0.480000,0.446809,0.463830,0.456170,0.506400,0.509020,0.519216,0.472750,0.482800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_456_seed321_t480k/geoexplorer.pt
val_dists_bias,"5,6,7",val_dists_567_seed321_t480k,val_dists_bias,masa_plus_mmgag,321,480000,0.513674,0.490326,0.612000,0.543830,0.534468,0.451064,0.520400,0.443137,0.454118,0.526050,0.538000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_567_seed321_t480k/geoexplorer.pt
val_dists_bias,8,val_dists_8_seed321_t480k,val_dists_bias,masa_plus_mmgag,321,480000,0.494102,0.496319,0.480000,0.518298,0.520000,0.475745,0.467600,0.476078,0.517647,0.491650,0.499900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/val_dists_8_seed321_t480k/geoexplorer.pt
