family,value,run,group,trainset_key,seed,target_steps,mean_all_sg,mean_transfer_sg,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
ent_coef,0.0025,param_ent_0p0025_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,1.416645,1.467463,1.428000,1.371064,1.328511,1.346383,1.406000,1.600000,1.560000,1.347150,1.362700,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p0025_seed321_t480k/geoexplorer.pt
ent_coef,0.005,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
ent_coef,0.0075,param_ent_0p0075_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,2.058225,1.990963,2.060000,2.085106,2.142979,2.228085,2.044000,1.989804,1.917647,2.031050,2.025350,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p0075_seed321_t480k/geoexplorer.pt
ent_coef,0.0100,param_ent_0p01_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,1.786442,1.763862,1.772000,1.665532,1.711489,1.805106,2.068400,1.789804,1.700392,1.850450,1.714800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p01_seed321_t480k/geoexplorer.pt
gate_floor,0.250,param_gate_floor_0p25_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,1.705167,1.748363,1.560000,1.550638,1.562553,1.724255,1.955600,1.818824,1.730980,1.748400,1.695250,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p25_seed321_t480k/geoexplorer.pt
gate_floor,0.350,param_gate_floor_0p35_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,1.678790,1.645919,1.704000,1.640000,1.670638,1.760000,1.750800,1.640000,1.726275,1.616200,1.601200,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p35_seed321_t480k/geoexplorer.pt
gate_floor,0.405,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
gate_floor,0.500,param_gate_floor_0p5_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,1.619959,1.685137,1.452000,1.479149,1.453617,1.618723,1.835600,1.745098,1.745098,1.640950,1.609400,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p5_seed321_t480k/geoexplorer.pt
gate_floor,0.650,param_gate_floor_0p65_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,1.652556,1.751547,1.476000,1.432340,1.457021,1.604255,1.897200,1.829804,1.828235,1.694600,1.653550,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p65_seed321_t480k/geoexplorer.pt
pbrs_coef,0.00,param_pbrs_0_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,1.329023,1.417317,1.248000,1.211915,1.188085,1.312340,1.331600,1.542745,1.538824,1.295450,1.292250,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0_seed321_t480k/geoexplorer.pt
pbrs_coef,0.05,param_pbrs_0p05_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,1.540886,1.614207,1.180000,1.474894,1.441702,1.602553,1.712000,1.697255,1.683922,1.567150,1.508500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0p05_seed321_t480k/geoexplorer.pt
pbrs_coef,0.10,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
pbrs_coef,0.15,param_pbrs_0p15_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,1.712037,1.780821,1.572000,1.515745,1.552340,1.609362,2.035600,1.874510,1.846275,1.737050,1.665450,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0p15_seed321_t480k/geoexplorer.pt
pbrs_coef,0.20,param_pbrs_0p2_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,1.488039,1.538225,1.372000,1.343830,1.447660,1.485957,1.590000,1.704314,1.683137,1.400650,1.364800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0p2_seed321_t480k/geoexplorer.pt
train_budget,240k,param_budget_240k_seed321_t240k,param_budget,masa_plus_mmgag,321,240000,1.622115,1.632881,1.404000,1.678298,1.636596,1.730213,1.618400,1.660392,1.705882,1.548050,1.617200,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_budget_240k_seed321_t240k/geoexplorer.pt
train_budget,480k,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
train_budget,720k,param_budget_720k_seed321_t720k,param_budget,masa_plus_mmgag,321,720000,1.285096,1.390285,1.156000,1.147234,1.170213,1.221277,1.310000,1.512941,1.492549,1.287500,1.268150,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_budget_720k_seed321_t720k/geoexplorer.pt
val_dists,"4,5,6,7,8",param_val_dists_45678_seed321_t480k,param_val_dists,masa_plus_mmgag,321,480000,2.132378,2.086422,1.856000,2.220426,2.166809,2.381277,2.221200,2.019608,2.038431,2.176450,2.111200,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_val_dists_45678_seed321_t480k/geoexplorer.pt
val_dists,"6,7,8",param_val_dists_678_seed321_t480k,param_val_dists,masa_plus_mmgag,321,480000,1.490013,1.590240,1.300000,1.394043,1.363404,1.408511,1.583200,1.702745,1.666667,1.541050,1.450500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_val_dists_678_seed321_t480k/geoexplorer.pt
val_dists,"7,8",dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
