family,value,run,group,trainset_key,seed,target_steps,mean_all_sr,mean_transfer_sr,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
ent_coef,0.0025,param_ent_0p0025_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,0.549699,0.537649,0.552000,0.553191,0.565106,0.560000,0.566400,0.500392,0.522353,0.563400,0.564450,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p0025_seed321_t480k/geoexplorer.pt
ent_coef,0.005,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,0.576542,0.542198,0.620000,0.612766,0.610213,0.605106,0.572000,0.505882,0.499608,0.580000,0.583300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
ent_coef,0.0075,param_ent_0p0075_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,0.434396,0.440870,0.424000,0.439149,0.422128,0.406809,0.454000,0.427451,0.448627,0.444800,0.442600,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p0075_seed321_t480k/geoexplorer.pt
ent_coef,0.0100,param_ent_0p01_seed321_t480k,param_entropy,masa_plus_mmgag,321,480000,0.472881,0.471526,0.468000,0.505532,0.488511,0.469787,0.438000,0.450196,0.472157,0.470050,0.493700,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_ent_0p01_seed321_t480k/geoexplorer.pt
gate_floor,0.250,param_gate_floor_0p25_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,0.500912,0.483313,0.500000,0.552340,0.546383,0.503830,0.472400,0.456471,0.478431,0.493900,0.504450,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p25_seed321_t480k/geoexplorer.pt
gate_floor,0.350,param_gate_floor_0p35_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,0.486096,0.490818,0.456000,0.503830,0.495319,0.474043,0.482400,0.494902,0.469020,0.496950,0.502400,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p35_seed321_t480k/geoexplorer.pt
gate_floor,0.405,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,0.576542,0.542198,0.620000,0.612766,0.610213,0.605106,0.572000,0.505882,0.499608,0.580000,0.583300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
gate_floor,0.500,param_gate_floor_0p5_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,0.498682,0.486764,0.536000,0.524255,0.527660,0.492766,0.460400,0.465098,0.472157,0.500600,0.509200,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p5_seed321_t480k/geoexplorer.pt
gate_floor,0.650,param_gate_floor_0p65_seed321_t480k,param_gate_floor,masa_plus_mmgag,321,480000,0.508931,0.486279,0.536000,0.545532,0.547234,0.514894,0.491600,0.460392,0.458824,0.508950,0.516950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_gate_floor_0p65_seed321_t480k/geoexplorer.pt
pbrs_coef,0.00,param_pbrs_0_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,0.553469,0.530009,0.564000,0.582979,0.594894,0.568511,0.550800,0.492549,0.495686,0.565250,0.566550,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0_seed321_t480k/geoexplorer.pt
pbrs_coef,0.05,param_pbrs_0p05_seed321_t480k,param_pbrs,masa_plus_mmgag,321,480000,0.513435,0.495129,0.588000,0.529362,0.537872,0.492766,0.492400,0.466667,0.467451,0.516100,0.530300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/param_pbrs_0p05_seed321_t480k/geoexplorer.pt
pbrs_coef,0.10,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,0.576542,0.542198,0.620000,0.612766,0.610213,0.605106,0.572000,0.505882,0.499608,0.580000,0.583300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
