score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,proposed_path_len,proposed_regress_steps,proposed_revisit_count,proposed_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,external_only_final_dist,external_only_path_len,external_only_progress_steps,external_only_regress_steps,external_only_revisit_count,external_only_total_reward,intrinsic_only_success,intrinsic_only_final_dist,intrinsic_only_path_len,intrinsic_only_progress_steps,intrinsic_only_regress_steps,intrinsic_only_revisit_count,intrinsic_only_total_reward,mixed_no_gate_no_pbrs_success,mixed_no_gate_no_pbrs_final_dist,mixed_no_gate_no_pbrs_path_len,mixed_no_gate_no_pbrs_progress_steps,mixed_no_gate_no_pbrs_regress_steps,mixed_no_gate_no_pbrs_revisit_count,mixed_no_gate_no_pbrs_total_reward,mixed_gate_only_success,mixed_gate_only_final_dist,mixed_gate_only_path_len,mixed_gate_only_progress_steps,mixed_gate_only_regress_steps,mixed_gate_only_revisit_count,mixed_gate_only_total_reward,mixed_pbrs_only_success,mixed_pbrs_only_final_dist,mixed_pbrs_only_path_len,mixed_pbrs_only_progress_steps,mixed_pbrs_only_regress_steps,mixed_pbrs_only_revisit_count,mixed_pbrs_only_total_reward,proposed_linear_gate_pbrs_success,proposed_linear_gate_pbrs_final_dist,proposed_linear_gate_pbrs_path_len,proposed_linear_gate_pbrs_progress_steps,proposed_linear_gate_pbrs_regress_steps,proposed_linear_gate_pbrs_revisit_count,proposed_linear_gate_pbrs_total_reward,image_asset_available,dataset,image_id,image_path,image_white_ratio,image_max_patch_white_ratio,image_mean_patch_white_ratio,image_texture_std
89.56,5,2,1,42,180,8,C8,4,20,0.4012083333333333,8,0,1,1.853142006292938,3.8,8.0,4.0,0,5,9,6,3,5,-9.0,0,7,9,5,4,8,4.871468424797056,0,3,9,7,2,1,-1.7099286317825335,0,1,9,8,1,1,-1.4552336497977394,0,3,9,7,2,0,1.4289071030616742,1,0,8,8,0,1,1.853142006292938,True,MASA,23878915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878915_15.tiff,0.27994444444444444,1.0,0.2799444444444445,80.74584833253299
86.28,5,2,0,123,120,5,C8,4,20,0.2690541666666666,8,0,1,1.7000943490937344,4.4,6.0,3.0,0,6,8,5,3,5,-8.0,0,6,8,5,3,6,3.1357750892639142,0,4,8,6,2,2,-1.864456534385683,0,2,8,7,1,0,1.0289176556467994,0,4,8,6,2,2,-1.918805354595186,1,0,8,8,0,1,1.7000943490937344,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033
85.8,5,1,0,123,380,32,C8,20,4,0.8390125,8,0,1,2.2327110396400087,4.0,7.0,4.0,0,4,8,6,2,0,-6.0,0,8,8,4,4,7,3.5483569502830488,0,2,8,7,1,0,2.3563032746314985,0,2,8,7,1,0,1.0535250735655417,0,4,8,6,2,3,-3.315147691726686,1,0,8,8,0,1,2.2327110396400087,True,MASA,24328870_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_24328870_15.tiff,0.7167777777777777,1.0,0.7167777777777776,77.33098179733055
85.56,5,2,0,123,255,11,C8,20,4,0.5655895833333333,8,0,1,1.921395733922719,3.8,6.0,3.0,0,3,9,7,2,0,-3.0,0,5,9,6,3,6,4.033458113670347,0,3,9,7,2,0,-0.4587013721466084,0,3,9,7,2,0,0.1080388969928012,0,5,9,6,3,4,-4.300244914054873,1,0,8,8,0,1,1.921395733922719,True,MASA,23878975_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878975_15.tiff,0.03277777777777778,0.5358333333333334,0.032777777777777774,50.49974813842539
85.12,5,1,3,123,90,15,C8,0,24,0.2023791666666666,8,0,1,2.258417347975074,2.6,5.0,4.0,0,1,9,8,1,0,-5.0,0,7,9,5,4,5,5.189462780952452,0,3,9,7,2,1,3.0948159098625165,0,1,9,8,1,0,-1.0755223521217716,0,1,9,8,1,1,0.0197679781913737,1,0,8,8,0,1,2.258417347975074,True,MASA,23879035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879035_15.tiff,0.0002888888888888889,0.003611111111111111,0.0002888888888888889,43.94926219533445
84.32,5,1,0,123,55,6,C8,4,20,0.1248083333333333,8,0,1,3.340885206654667,3.6,6.0,4.0,0,4,8,6,2,2,-8.0,0,8,8,4,4,6,2.4053264260292035,0,2,8,7,1,0,1.040783464908598,0,2,8,7,1,1,0.168193600438534,0,2,8,7,1,1,-2.70837138605118,1,0,8,8,0,1,3.340885206654667,True,MASA,23729095_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729095_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,34.40977889470552
83.64,5,1,3,123,250,3,C8,4,20,0.5546791666666666,8,0,1,2.4985677361190306,2.2,5.0,3.0,0,1,9,8,1,1,-5.0,0,5,9,6,3,5,6.27518582344055,0,1,9,8,1,2,2.7913483977317792,0,1,9,8,1,0,-1.4229694913327706,0,3,9,7,2,0,3.017932064056395,1,0,8,8,0,1,2.4985677361190306,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278
82.64,5,1,3,321,85,7,C8,24,0,0.1918125,8,0,1,0.6649833567142478,2.2,4.0,3.0,0,1,9,8,1,2,-3.0,0,5,9,6,3,4,1.9409062266349768,0,1,9,8,1,1,-1.1771069169044517,0,3,9,7,2,2,-5.595031147152188,0,1,9,8,1,2,-2.299919626712801,1,0,8,8,0,1,0.6649833567142478,True,MASA,23729110_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729110_15.tiff,0.37962222222222225,1.0,0.37962222222222225,93.31517927750956
82.36,5,1,0,123,205,7,C8,4,20,0.455325,8,0,1,1.456509268067776,2.8,6.0,3.0,0,2,8,7,1,0,-4.0,0,6,8,5,3,6,3.8904041647911054,0,2,8,7,1,2,-2.403100311756136,0,2,8,7,1,0,-0.3063450016826405,0,2,8,7,1,0,0.1936654520034775,1,0,8,8,0,1,1.456509268067776,True,MASA,23729110_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729110_15.tiff,0.37962222222222225,1.0,0.37962222222222225,93.31517927750956
87.03999999999999,5,3,0,123,110,15,C7,23,0,0.2469916666666666,7,0,1,5.151656076848506,4.2,7.0,4.0,0,5,8,5,3,4,-8.0,0,3,8,6,2,4,5.314464330673216,0,3,8,6,2,0,2.542613685131071,0,7,8,4,4,7,-3.501542925834657,0,3,8,6,2,1,-0.9360686998367328,1,0,7,7,0,1,5.151656076848506,True,MASA,23879035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879035_15.tiff,0.0002888888888888889,0.003611111111111111,0.0002888888888888889,43.94926219533445
