method,方法,动作类型,步数,占比%,正总奖励率%,reward_ex_mean,reward_in_raw_mean,reward_in_gated_mean,pbrs_bonus_mean,finish_bonus_mean,reward_total_mean
external_only,仅外在,progress,9525,80.71349885602915,28.755905511811026,-0.42488188976377955,0.5005166511210243,0.0,0.0,0.0,-0.42488188976377955
external_only,仅外在,regress,1798,15.235996949411067,0.0,-1.0,0.48280708055872795,0.0,0.0,0.0,-1.0
external_only,仅外在,goal,478,4.0505041945597835,100.0,2.0,0.46573012456235513,0.0,0.0,0.0,2.0
intrinsic_only,仅好奇心,progress,6929,59.3897317219508,99.27839515081541,0.0,0.5140289335062292,0.5140289335062292,0.0,0.0,0.5140289335062292
intrinsic_only,仅好奇心,regress,4736,40.593125910688265,98.96537162162163,0.0,0.4784994808629757,0.4784994808629757,0.0,0.0,0.4784994808629757
intrinsic_only,仅好奇心,goal,2,0.017142367360932546,100.0,0.0,0.4559156000614164,0.4559156000614164,0.0,0.0,0.4559156000614164
mixed_no_gate_no_pbrs,直接相加,progress,9814,83.02174096946113,34.7360912981455,-0.3058895455471775,0.5004707515871352,0.5004707515871352,0.0,0.0,0.19458120603995763
mixed_no_gate_no_pbrs,直接相加,regress,1536,12.993824549530496,0.06510416666666666,-1.0,0.48732300723592425,0.48732300723592425,0.0,0.0,-0.5126769927640757
mixed_no_gate_no_pbrs,直接相加,goal,471,3.9844344810083747,100.0,2.0,0.45358720820420856,0.45358720820420856,0.0,0.0,2.4535872082042087
mixed_gate_only,距离门控,progress,9685,82.12498940049181,33.75322663913268,-0.3249354672173464,0.5027245055109062,0.370129483244945,0.0,0.0,0.045194016027598614
mixed_gate_only,距离门控,regress,1633,13.847197490036462,0.0,-1.0,0.4754432793489935,0.36646805417768996,0.0,0.0,-0.6335319458223099
mixed_gate_only,距离门控,goal,475,4.027813109471721,100.0,2.0,0.4686762433303029,0.18981387854877263,0.0,0.0,2.1898138785487724
mixed_pbrs_only,仅塑形,progress,9703,81.81971498440004,34.700608059363084,-0.30660620426672164,0.4989995467691068,0.4989995467691068,0.015813781820055654,0.0,0.20820712432244068
mixed_pbrs_only,仅塑形,regress,1773,14.950670376928915,0.05640157924421885,-1.0,0.4862186897964175,0.4862186897964175,-0.008998519458544844,0.0,-0.5227798296621274
mixed_pbrs_only,仅塑形,goal,383,3.2296146386710514,100.0,2.0,0.4378485751214287,0.4378485751214287,0.012499999999999999,0.0,2.4503485751214282
proposed_linear_gate_pbrs,本文方法,progress,9732,82.71290158082611,33.10727496917386,-0.33785450061652283,0.5031232533021762,0.3703639432902449,0.015813977085902174,0.0,0.04832341975962429
proposed_linear_gate_pbrs,本文方法,regress,1564,13.292537820839708,0.0,-1.0,0.47600918196503755,0.36855317570739116,-0.008805306905370848,0.0,-0.6402521311979796
proposed_linear_gate_pbrs,本文方法,goal,470,3.9945605983341834,100.0,2.0,0.47826015695612467,0.1936953635672305,0.0125,0.0,2.206195363567231
