method,方法,距离段,步数,接近/到达步占比%,回退步占比%,平均外在奖励,平均好奇心门控,平均塑形,平均总奖励,正总奖励率%,平均门控系数
external_only,仅外在,远:8+,680,100.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0
external_only,仅外在,中远:6-7,3371,90.71492138831208,9.285078611687926,-1.0,0.0,0.0,-1.0,0.0,1.0
external_only,仅外在,中:3-5,5743,82.63973532996691,17.360264670033086,-0.3895176736897092,0.0,0.0,-0.3895176736897092,30.524116315514537,1.0
external_only,仅外在,近:1-2,2007,75.68510214250125,24.314897857498753,0.6970602889885401,0.0,0.0,0.6970602889885401,72.94469357249626,1.0
intrinsic_only,仅好奇心,远:8+,1790,100.0,0.0,0.0,0.551513609439967,0.0,0.551513609439967,100.0,1.0
intrinsic_only,仅好奇心,中远:6-7,6677,55.62378313613898,44.37621686386102,0.0,0.5080553538359726,0.0,0.5080553538359726,98.87674105137037,1.0
intrinsic_only,仅好奇心,中:3-5,3108,45.33462033462033,54.66537966537967,0.0,0.451876372981102,0.0,0.451876372981102,99.22779922779922,1.0
intrinsic_only,仅好奇心,近:1-2,92,19.565217391304348,80.43478260869566,0.0,0.48766442550265254,0.0,0.48766442550265254,100.0,1.0
mixed_no_gate_no_pbrs,直接相加,远:8+,625,100.0,0.0,-1.0,0.6588941235542296,0.0,-0.34110587644577045,0.0,1.0
mixed_no_gate_no_pbrs,直接相加,中远:6-7,3084,94.97405966277562,5.025940337224384,-1.0,0.5522588465155019,0.0,-0.447741153484498,0.09727626459143969,1.0
mixed_no_gate_no_pbrs,直接相加,中:3-5,5699,88.17336374802596,11.82663625197403,-0.20056150201789788,0.462618495324428,0.0,0.26205699330653015,39.989471837164416,1.0
mixed_no_gate_no_pbrs,直接相加,近:1-2,2413,70.70037297969333,29.299627020306673,0.5205138831330294,0.4651262973583044,0.0,0.9856401804913341,66.26605884790717,1.0
mixed_gate_only,距离门控,远:8+,633,100.0,0.0,-1.0,0.6118272884453146,0.0,-0.38817271155468536,0.0,0.9306773301737756
mixed_gate_only,距离门控,中远:6-7,3156,93.50443599493029,6.495564005069708,-1.0,0.4777186632280626,0.0,-0.5222813367719374,0.0,0.8652483365019011
mixed_gate_only,距离门控,中:3-5,5697,86.09794628751975,13.902053712480253,-0.24346147094962262,0.32009369144086364,0.0,0.07663222049124103,37.82692645251887,0.6917332587326662
mixed_gate_only,距离门控,近:1-2,2307,72.43172951885566,27.568270481144342,0.5834416991764196,0.2404713633020709,0.0,0.8239130624784906,68.87732986562636,0.5098453077589945
mixed_pbrs_only,仅塑形,远:8+,626,100.0,0.0,-1.0,0.6601214891615005,0.018624999999999996,-0.32125351083849973,0.0,1.0
mixed_pbrs_only,仅塑形,中远:6-7,3144,94.11577608142494,5.8842239185750635,-1.0,0.5484864975091154,0.015862595419847327,-0.4356509070710373,0.1272264631043257,1.0
mixed_pbrs_only,仅塑形,中:3-5,5748,86.151704940849,13.848295059151008,-0.20633263743910926,0.45964105331864535,0.011921559672929715,0.2652299755524658,39.683368128044535,1.0
mixed_pbrs_only,仅塑形,近:1-2,2341,66.16830414352842,33.8316958564716,0.4160615121742845,0.46640750479362075,0.005219083724903885,0.887688100692809,62.6228107646305,1.0
proposed_linear_gate_pbrs,本文方法,远:8+,639,100.0,0.0,-1.0,0.6123595369104673,0.018624999999999996,-0.36901546308953265,0.0,0.930513497652582
proposed_linear_gate_pbrs,本文方法,中远:6-7,3154,93.72225745085606,6.2777425491439445,-1.0,0.47892489397943977,0.015772471464806592,-0.5053026345557537,0.0,0.8657086239695624
proposed_linear_gate_pbrs,本文方法,中:3-5,5706,86.75078864353313,13.249211356466878,-0.25832457062740977,0.3189764607411461,0.01207308096740273,0.07272497108113911,37.083771468629514,0.6907925137282394
proposed_linear_gate_pbrs,本文方法,近:1-2,2267,73.09219232465813,26.90780767534186,0.5977062196735774,0.24258021133555388,0.00682327966475518,0.8471097106738865,69.51918835465372,0.5093830870460226
