route_index,method,method_cn,seed,episode,image_index,distance_bucket,success,initial_dist,final_dist,route_total_reward,step,prev_patch,cur_patch,action,prev_dist,next_dist,delta_dist,move_type,is_progress,is_regress,is_goal,is_near,reward_total,reward_ex,reward_ex_raw,reward_in_raw,reward_in_gated,gate_weight,finish_bonus,pbrs_bonus,reward_positive,reward_strong_positive
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,1,3,4,right,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.7790060043334959,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,2,4,9,down,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.625003397464752,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,3,9,14,down,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.23195904493331887,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,4,14,19,down,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4094119071960447,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,5,19,14,up,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.21795970201492287,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,6,14,13,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.39950442314147927,0.0,1.0,0.0,0.0,0,0
0,external_only,仅外在,123,0,0,C6,0,6.0,5.0,-7.0,7,13,14,right,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.32919657230377175,0.0,1.0,0.0,0.0,0,0
1,external_only,仅外在,123,0,1,C7,0,7.0,1.0,-4.0,1,23,24,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6677479743957517,0.0,1.0,0.0,0.0,0,0
1,external_only,仅外在,123,0,1,C7,0,7.0,1.0,-4.0,2,24,23,left,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.519390821456909,0.0,1.0,0.0,0.0,0,0
1,external_only,仅外在,123,0,1,C7,0,7.0,1.0,-4.0,3,23,22,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.23757916688919045,0.0,1.0,0.0,0.0,0,0
1,external_only,仅外在,123,0,1,C7,0,7.0,1.0,-4.0,4,22,21,left,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4864118695259092,0.0,1.0,0.0,0.0,0,0
1,external_only,仅外在,123,0,1,C7,0,7.0,1.0,-4.0,5,21,16,up,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6546289920806883,0.0,1.0,0.0,0.0,0,0
