image_index,image_id,white,max_patch_white,std,top_score,all_fail,candidates
13,22828945_15,0.0,0.0,33.040234472885345,86.28,1,14
4,23729065_15,0.0,0.0,34.157371284584634,80.12,2,16
26,24179020_15,0.0,0.0,44.91017544936357,68.88,0,2
24,22828960_15,0.0,0.0,31.505082592644452,61.4,0,1
2,22828915_15,1.1111111111111112e-05,0.0002777777777777778,37.67042109064696,79.84,1,23
14,23879020_15,3.3333333333333335e-05,0.0008333333333333334,44.616353129331145,85.56,3,16
6,23729095_15,3.3333333333333335e-05,0.0008333333333333334,34.40977889470552,84.32,1,24
20,24029035_15,3.3333333333333335e-05,0.0005555555555555556,40.641362415040554,77.6,1,4
5,23729080_15,6.666666666666667e-05,0.0008333333333333334,33.71020601299033,86.28,3,19
1,22678930_15,6.666666666666667e-05,0.001388888888888889,35.950311306844696,80.8,2,17
19,23879110_15,7.777777777777778e-05,0.0019444444444444444,34.13187372905267,75.36,1,4
18,23879095_15,7.777777777777778e-05,0.0019444444444444444,36.94623222625731,44.44,0,2
0,22678915_15,0.0002,0.005,44.629645865908515,77.08,1,22
3,23729050_15,0.00023333333333333333,0.0022222222222222222,41.78051892159278,89.03999999999999,4,28
15,23879035_15,0.0002888888888888889,0.003611111111111111,43.94926219533445,87.03999999999999,2,14
23,24029080_15,0.0002888888888888889,0.003611111111111111,35.99220269885749,64.64,0,2
17,23879065_15,0.0003111111111111111,0.0033333333333333335,35.31570898664007,74.36,0,6
22,24029065_15,0.0003222222222222222,0.008055555555555555,36.43518108904984,55.84,0,2
27,24179035_15,0.0005222222222222222,0.012222222222222223,47.57423974718254,49.4,0,1
12,23878990_15,0.0006111111111111111,0.014166666666666666,48.52935049911557,77.56,1,20
16,23879050_15,0.0007666666666666667,0.018333333333333333,36.216450347127086,86.08,1,14
21,24029050_15,0.0015888888888888888,0.009722222222222222,47.84523880540244,76.36,0,5
11,23878975_15,0.03277777777777778,0.5358333333333334,50.49974813842539,85.56,1,14
9,23878930_15,0.23595555555555556,1.0,86.20615108195106,82.08,3,28
10,23878945_15,0.2652,1.0,96.49700061212924,79.8,5,24
8,23878915_15,0.27994444444444444,1.0,80.74584833253299,89.56,2,33
7,23729110_15,0.37962222222222225,1.0,93.31517927750956,82.64,2,33
25,24029110_15,0.5082,1.0,90.90832928539238,74.36,0,2
32,24328870_15,0.7167777777777777,1.0,77.33098179733055,85.8,1,1
