score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,prop_path_len,prop_regress,prop_revisit,prop_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,intrinsic_only_success,mixed_no_gate_no_pbrs_success,mixed_gate_only_success,mixed_pbrs_only_success,proposed_linear_gate_pbrs_success,external_only_final,intrinsic_only_final,mixed_no_gate_no_pbrs_final,mixed_gate_only_final,mixed_pbrs_only_final,proposed_linear_gate_pbrs_final,external_only_revisit,intrinsic_only_revisit,mixed_no_gate_no_pbrs_revisit,mixed_gate_only_revisit,mixed_pbrs_only_revisit,proposed_linear_gate_pbrs_revisit,external_only_regress,intrinsic_only_regress,mixed_no_gate_no_pbrs_regress,mixed_gate_only_regress,mixed_pbrs_only_regress,proposed_linear_gate_pbrs_regress,external_only_dist_sequence,intrinsic_only_dist_sequence,mixed_no_gate_no_pbrs_dist_sequence,mixed_gate_only_dist_sequence,mixed_pbrs_only_dist_sequence,proposed_linear_gate_pbrs_dist_sequence,external_only_patch_sequence,intrinsic_only_patch_sequence,mixed_no_gate_no_pbrs_patch_sequence,mixed_gate_only_patch_sequence,mixed_pbrs_only_patch_sequence,proposed_linear_gate_pbrs_patch_sequence
89.56,5,2,1,42,180,8,C8,4,20,0.4012083333333333,8,0,1,1.853142006292938,3.8,8.0,4.0,0,0,0,0,0,1,5,7,3,1,3,0,5,8,1,1,0,1,3,4,2,1,2,0,"[8, 7, 6, 5, 4, 5, 6, 5, 6, 5]","[8, 7, 8, 7, 8, 7, 8, 7, 8, 7]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 8, 7, 6, 5, 4, 3, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[20, 4, 9, 14, 19, 24, 19, 14, 19, 14, 19]","[20, 4, 9, 4, 9, 4, 9, 4, 9, 4, 9]","[20, 4, 3, 2, 7, 12, 11, 10, 15, 10, 5]","[20, 4, 3, 4, 9, 8, 7, 6, 5, 10, 15]","[20, 4, 3, 2, 1, 6, 11, 16, 21, 22, 23]","[20, 4, 9, 14, 13, 12, 11, 10, 15, 20]"
89.03999999999999,5,5,0,123,280,3,C6,10,4,0.6201520833333334,6,0,1,3.848759819269179,4.2,7.0,5.0,0,0,0,0,0,1,3,7,3,3,5,0,0,7,0,0,1,1,3,5,3,3,4,0,"[6, 5, 4, 3, 2, 1, 2, 1, 2, 3]","[6, 7, 8, 7, 8, 7, 8, 7, 8, 7]","[6, 5, 4, 3, 2, 3, 4, 5, 4, 3]","[6, 5, 4, 3, 2, 3, 4, 5, 4, 3]","[6, 5, 4, 5, 6, 7, 6, 5, 4, 5]","[6, 5, 4, 3, 2, 1, 0]","[4, 10, 5, 0, 1, 2, 3, 8, 9, 14, 19]","[4, 10, 15, 20, 15, 20, 15, 20, 15, 20, 15]","[4, 10, 5, 6, 7, 8, 13, 18, 23, 24, 19]","[4, 10, 5, 6, 7, 8, 13, 18, 23, 24, 19]","[4, 10, 5, 6, 11, 16, 21, 22, 23, 24, 23]","[4, 10, 5, 0, 1, 2, 3, 4]"
87.03999999999999,5,3,0,123,110,15,C7,23,0,0.2469916666666666,7,0,1,5.151656076848506,4.2,7.0,4.0,0,0,0,0,0,1,5,3,3,7,3,0,4,4,0,7,1,1,3,2,2,4,2,0,"[7, 8, 7, 8, 7, 8, 7, 6, 5]","[7, 6, 5, 4, 3, 4, 3, 4, 3]","[7, 6, 5, 4, 3, 2, 1, 2, 3]","[7, 8, 7, 8, 7, 8, 7, 8, 7]","[7, 6, 5, 6, 5, 4, 5, 4, 3]","[7, 6, 5, 4, 3, 2, 1, 0]","[0, 23, 24, 23, 24, 19, 24, 19, 14, 9]","[0, 23, 18, 13, 8, 3, 8, 3, 8, 3]","[0, 23, 22, 21, 16, 11, 6, 1, 2, 3]","[0, 23, 24, 23, 24, 23, 24, 23, 24, 23]","[0, 23, 22, 21, 22, 17, 12, 13, 8, 7]","[0, 23, 18, 13, 8, 7, 6, 5, 0]"
86.28,5,2,0,123,120,5,C8,4,20,0.2690541666666666,8,0,1,1.7000943490937344,4.4,6.0,3.0,0,0,0,0,0,1,6,6,4,2,4,0,5,6,2,0,2,1,3,3,2,1,2,0,"[8, 7, 8, 7, 8, 7, 8, 7, 6]","[8, 7, 6, 7, 6, 7, 6, 7, 6]","[8, 7, 6, 5, 4, 3, 2, 3, 4]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 4, 3, 4]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[20, 4, 3, 4, 9, 4, 9, 4, 9, 8]","[20, 4, 3, 8, 3, 8, 3, 8, 3, 8]","[20, 4, 3, 8, 7, 12, 17, 22, 17, 12]","[20, 4, 3, 8, 13, 18, 17, 16, 15, 10]","[20, 4, 3, 8, 7, 12, 17, 12, 17, 18]","[20, 4, 9, 8, 7, 6, 11, 10, 15, 20]"
86.28,5,4,0,321,150,13,C6,15,3,0.3368125,6,0,1,3.2640403232971824,4.4,7.0,4.0,0,0,0,0,0,1,6,6,4,4,2,0,7,6,0,0,2,1,4,4,3,3,2,0,"[6, 5, 6, 5, 6, 5, 6, 5, 6]","[6, 5, 4, 5, 6, 5, 6, 5, 6]","[6, 5, 4, 3, 2, 1, 2, 3, 4]","[6, 5, 4, 3, 2, 1, 2, 3, 4]","[6, 5, 4, 3, 4, 3, 2, 1, 2]","[6, 5, 4, 3, 2, 1, 0]","[3, 15, 10, 15, 10, 15, 10, 15, 10, 15]","[3, 15, 16, 17, 16, 15, 16, 15, 16, 15]","[3, 15, 10, 11, 12, 7, 8, 13, 14, 19]","[3, 15, 10, 11, 6, 7, 8, 9, 14, 19]","[3, 15, 10, 11, 12, 11, 12, 7, 2, 1]","[3, 15, 10, 5, 0, 1, 2, 3]"
86.08,5,4,1,42,345,16,C6,1,23,0.7622895833333333,6,0,1,5.569488469213247,3.4,7.0,4.0,0,0,0,0,0,1,5,5,3,3,1,0,0,7,1,0,2,1,4,4,3,3,2,0,"[6, 5, 4, 3, 2, 1, 2, 3, 4, 5]","[6, 5, 4, 5, 4, 5, 4, 5, 4, 5]","[6, 5, 4, 3, 4, 5, 4, 3, 2, 3]","[6, 5, 4, 3, 2, 1, 2, 3, 2, 3]","[6, 5, 4, 3, 2, 1, 2, 1, 2, 1]","[6, 5, 4, 3, 2, 1, 0]","[23, 1, 6, 11, 16, 17, 18, 19, 14, 9, 4]","[23, 1, 2, 7, 2, 7, 2, 7, 2, 7, 2]","[23, 1, 6, 7, 8, 3, 4, 9, 14, 13, 14]","[23, 1, 6, 11, 16, 17, 18, 19, 14, 13, 12]","[23, 1, 6, 11, 16, 17, 18, 19, 24, 19, 24]","[23, 1, 6, 11, 16, 17, 22, 23]"
85.8,5,1,0,123,380,32,C8,20,4,0.8390125,8,0,1,2.2327110396400087,4.0,7.0,4.0,0,0,0,0,0,1,4,8,2,2,4,0,0,7,0,0,3,1,2,4,1,1,2,0,"[8, 7, 6, 5, 4, 3, 2, 3, 4]","[8, 7, 8, 7, 8, 7, 8, 7, 8]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 4, 3, 4]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[4, 20, 15, 10, 11, 12, 7, 2, 1, 0]","[4, 20, 15, 20, 15, 20, 15, 20, 15, 20]","[4, 20, 15, 10, 5, 6, 7, 8, 9, 14]","[4, 20, 15, 10, 5, 6, 7, 8, 9, 14]","[4, 20, 15, 10, 5, 0, 1, 0, 1, 0]","[4, 20, 15, 10, 5, 0, 1, 2, 3, 4]"
85.56,5,2,0,123,255,11,C8,20,4,0.5655895833333333,8,0,1,1.921395733922719,3.8,6.0,3.0,0,0,0,0,0,1,3,5,3,3,5,0,0,6,0,0,4,1,2,3,2,2,3,0,"[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 8, 7, 8, 7, 6, 5, 6, 5]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 4, 3, 4, 5]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[4, 20, 15, 10, 11, 12, 7, 8, 9, 14, 19]","[4, 20, 21, 20, 21, 20, 21, 22, 17, 22, 17]","[4, 20, 15, 10, 5, 6, 1, 2, 3, 8, 13]","[4, 20, 21, 22, 17, 12, 7, 8, 9, 14, 19]","[4, 20, 15, 10, 5, 0, 1, 0, 1, 0, 5]","[4, 20, 21, 22, 17, 12, 7, 2, 3, 4]"
85.56,5,4,1,123,120,14,C6,22,4,0.2691604166666667,6,0,1,3.919102589239676,3.8,6.0,4.0,0,0,0,0,0,1,5,3,1,5,5,0,4,5,1,6,0,1,4,3,2,4,4,0,"[6, 5, 4, 5, 4, 3, 4, 3, 4, 5]","[6, 5, 4, 3, 2, 3, 2, 3, 2, 3]","[6, 5, 4, 5, 4, 3, 2, 1, 2, 1]","[6, 5, 6, 5, 4, 5, 6, 5, 4, 5]","[6, 5, 4, 3, 2, 1, 2, 3, 4, 5]","[6, 5, 4, 3, 2, 1, 0]","[4, 22, 23, 18, 23, 18, 13, 18, 19, 24, 23]","[4, 22, 17, 12, 7, 2, 7, 2, 7, 2, 7]","[4, 22, 17, 12, 11, 6, 1, 2, 3, 8, 3]","[4, 22, 23, 22, 23, 18, 23, 22, 23, 18, 17]","[4, 22, 17, 12, 13, 14, 9, 8, 7, 6, 5]","[4, 22, 17, 12, 7, 2, 3, 4]"
85.12,5,1,3,123,90,15,C8,0,24,0.2023791666666666,8,0,1,2.258417347975074,2.6,5.0,4.0,0,0,0,0,0,1,1,7,3,1,1,0,0,5,1,0,1,1,1,4,2,1,1,0,"[8, 7, 6, 5, 4, 3, 2, 3, 2, 1]","[8, 7, 6, 5, 6, 7, 8, 7, 8, 7]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 1]","[8, 7, 6, 5, 4, 3, 4, 3, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[24, 0, 5, 10, 15, 20, 21, 22, 17, 18, 23]","[24, 0, 5, 10, 15, 10, 5, 0, 1, 0, 5]","[24, 0, 1, 2, 3, 8, 13, 18, 23, 18, 17]","[24, 0, 1, 2, 3, 4, 9, 14, 19, 18, 23]","[24, 0, 5, 10, 15, 16, 21, 20, 21, 22, 23]","[24, 0, 5, 10, 15, 20, 21, 22, 23, 24]"
