method,method_label,run_name,seed,max_progress,max_time_step,last_rolling_success,last_best_val_success,last_c6_c8_success,last_c6_c8_final_dist,last_effective_external,last_effective_intrinsic,last_pbrs
external_only,仅外部奖励,external_only_seed123_t480k,123,1.0000020833333334,480001,0.31979468599033817,19.0,0.46161417938153276,1.0943362137598238,-0.37648742764920784,0.0,0.0
external_only,仅外部奖励,external_only_seed321_t480k,321,1.0000020833333334,480001,0.30497886473429947,19.0,0.4203772903423009,1.2604775129679868,-0.38881551157520805,0.0,0.0
external_only,仅外部奖励,external_only_seed42_t480k,42,1.0000020833333334,480001,0.30910176779741994,18.0,0.441948893272501,1.225526387844313,-0.38306739850218785,0.0,0.0
intrinsic_only,仅内在奖励,intrinsic_only_seed123_t480k,123,1.0000020833333334,480001,0.057725606673407405,4.0,0.0,6.05078223204598,0.0,0.516370411091381,0.0
intrinsic_only,仅内在奖励,intrinsic_only_seed321_t480k,321,1.0000020833333334,480001,0.05228766430738113,3.0,0.0,6.048215439216405,0.0,0.5079305319310251,0.0
intrinsic_only,仅内在奖励,intrinsic_only_seed42_t480k,42,1.0000020833333334,480001,0.04795247724974716,5.0,0.0,6.282421179623793,0.0,0.5178854481410794,0.0
mixed_no_gate_no_pbrs,外部+内在直接相加,mixed_no_gate_no_pbrs_seed123_t480k,123,1.0000020833333334,480001,0.2959782608695652,18.0,0.40954945853954505,1.0980844164475312,-0.34566472583243485,0.51850923647435,0.0
mixed_no_gate_no_pbrs,外部+内在直接相加,mixed_no_gate_no_pbrs_seed321_t480k,321,1.0000020833333334,480001,0.30306461352657,20.0,0.44567152769290547,0.9956009074150063,-0.3337216899881365,0.5190183586634587,0.0
mixed_no_gate_no_pbrs,外部+内在直接相加,mixed_no_gate_no_pbrs_seed42_t480k,42,1.0000020833333334,480001,0.30292572463768114,20.0,0.4185424375569924,1.1006293032099743,-0.3442984385973434,0.51745413369725,0.0
mixed_gate_only,外部+门控内在,mixed_gate_only_seed123_t480k,123,1.0000020833333334,480001,0.27628623188405793,18.0,0.34676939357519276,1.4532630100047308,-0.3598590296961644,0.40564072310029575,0.0
mixed_gate_only,外部+门控内在,mixed_gate_only_seed321_t480k,321,1.0000020833333334,480001,0.3185507246376812,20.0,0.46501404873749647,0.953306805731188,-0.32948358103292474,0.4034172478623829,0.0
mixed_gate_only,外部+门控内在,mixed_gate_only_seed42_t480k,42,1.0000020833333334,480001,0.3025785024154589,16.0,0.4234796508590403,1.1706522359844636,-0.3504006613124112,0.4037915026102858,0.0
mixed_pbrs_only,外部+内在+PBRS,mixed_pbrs_only_seed123_t480k,123,1.0000020833333334,480001,0.2962832125603864,20.0,0.4155703104472635,1.1504899255838772,-0.3457027243257936,0.5174632474383056,0.0082334059705887
mixed_pbrs_only,外部+内在+PBRS,mixed_pbrs_only_seed321_t480k,321,1.0000020833333334,480001,0.2668357487922705,14.0,0.3229499781562815,1.5096236141516612,-0.3556893238020028,0.517538710754048,0.008019842961957386
mixed_pbrs_only,外部+内在+PBRS,mixed_pbrs_only_seed42_t480k,42,1.0000020833333334,480001,0.2613556763285024,12.0,0.3038178064264236,1.5996062676260092,-0.3568276587307461,0.5168987125919932,0.00796649872761612
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,proposed_linear_gate_pbrs_seed123_t480k,123,1.0000020833333334,480001,0.3066650740563784,18.0,0.43374285946465746,1.1320779170985256,-0.34765844134712487,0.40370023483520884,0.008281279135608558
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,proposed_linear_gate_pbrs_seed321_t480k,321,1.0000020833333334,480001,0.3190609903381642,20.0,0.46936477644921104,0.9484903909525249,-0.3299898983279409,0.40373421720387526,0.00839445831246467
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,proposed_linear_gate_pbrs_seed42_t480k,42,1.0000020833333334,480001,0.2846708937198067,15.0,0.37691595725004695,1.3620623909241583,-0.3522783725181763,0.4048529588234022,0.008104731044788184
