method,method_label,checkpoint_name,run_progress,episode,time_step,n_seed,overall_success_mean,overall_success_max,c6_c8_success_mean,c6_c8_success_max,c6_success_mean,c6_success_max,c7_success_mean,c7_success_max,c8_success_mean,c8_success_std,c8_success_max,c8_sg_mean,c8_sg_min,c8_closeness_mean,c8_closeness_max,c8_success_envelope,c8_closeness_envelope,c8_sg_best_so_far
external_only,仅外部奖励,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.09388888888888887,0.1566666666666666,0.09569444444444446,0.16458333333333333,0.09750000000000002,0.1625,0.08125,0.13125,0.10833333333333334,0.08036375634160796,0.2,4.916666666666667,3.9,0.3854166666666667,0.5125,0.2,0.5125,3.9
external_only,仅外部奖励,geoexplorer_50.pt,0.11542777777777774,50.0,55364.0,3,0.15999999999999995,0.1916666666666666,0.16333333333333333,0.21333333333333335,0.165,0.19,0.14166666666666666,0.175,0.18333333333333335,0.08036375634160797,0.275,3.533333333333333,3.35,0.5583333333333333,0.58125,0.275,0.58125,3.35
external_only,仅外部奖励,geoexplorer_100.pt,0.22719513888888884,100.0,109150.0,3,0.33888888888888885,0.3833333333333333,0.3440277777777778,0.3866666666666667,0.33416666666666667,0.385,0.34791666666666665,0.39375,0.35000000000000003,0.06614378277661476,0.4,2.6166666666666667,1.9,0.6729166666666666,0.7625,0.4,0.7625,1.9
external_only,仅外部奖励,geoexplorer_150.pt,0.3387291666666667,150.0,162505.0,3,0.4805555555555556,0.5583333333333333,0.4873611111111111,0.55875,0.46833333333333343,0.555,0.5104166666666666,0.60625,0.4833333333333334,0.07637626158259735,0.55,1.9166666666666667,1.55,0.7604166666666666,0.80625,0.55,0.80625,1.55
external_only,仅外部奖励,geoexplorer_200.pt,0.44902708333333335,200.0,215349.0,3,0.5933333333333333,0.62,0.62,0.645,0.56,0.585,0.6666666666666666,0.7,0.6333333333333333,0.05204164998665342,0.675,1.2666666666666666,1.0,0.8416666666666667,0.875,0.675,0.875,1.0
external_only,仅外部奖励,geoexplorer_250.pt,0.5587784722222222,250.0,267850.0,3,0.6477777777777778,0.715,0.6684722222222222,0.78125,0.62,0.6625,0.7104166666666667,0.80625,0.6749999999999999,0.2136000936329383,0.875,1.0999999999999999,0.3,0.8624999999999999,0.9625,0.875,0.9625,0.3
external_only,仅外部奖励,geoexplorer_300.pt,0.6676444444444445,300.0,320297.0,3,0.6566666666666666,0.6916666666666667,0.7004166666666668,0.7433333333333333,0.6158333333333333,0.6425,0.7354166666666666,0.7875,0.75,0.06614378277661477,0.8,1.05,0.8,0.86875,0.9,0.875,0.9625,0.3
external_only,仅外部奖励,geoexplorer_350.pt,0.7767493055555555,350.0,373094.0,3,0.6866666666666666,0.76,0.7379166666666667,0.8275,0.6366666666666667,0.695,0.7854166666666668,0.8875,0.7916666666666666,0.09464847243000453,0.9,0.7166666666666667,0.45,0.9104166666666668,0.94375,0.9,0.9625,0.3
external_only,仅外部奖励,geoexplorer_400.pt,0.8863569444444445,400.0,425741.0,3,0.668888888888889,0.6916666666666667,0.7086111111111112,0.7508333333333334,0.6216666666666667,0.635,0.7708333333333334,0.825,0.7333333333333334,0.06291528696058953,0.8,0.9,0.6,0.8875000000000001,0.925,0.9,0.9625,0.3
external_only,仅外部奖励,geoexplorer_450.pt,0.9949666666666666,450.0,477682.0,3,0.6905555555555556,0.7383333333333333,0.7431944444444444,0.8054166666666666,0.64,0.6725,0.7895833333333333,0.86875,0.7999999999999999,0.06614378277661472,0.875,0.7166666666666667,0.35,0.9104166666666668,0.95625,0.9,0.9625,0.3
intrinsic_only,仅内在奖励,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.11999999999999995,0.1533333333333333,0.12291666666666667,0.16666666666666666,0.12083333333333333,0.15,0.11458333333333333,0.15,0.13333333333333333,0.0629152869605896,0.2,4.833333333333333,4.4,0.3958333333333333,0.44999999999999996,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_50.pt,0.1164083333333333,50.0,55864.0,3,0.0011111111111111,0.0033333333333333,0.0005555555555555556,0.0016666666666666668,0.0016666666666666668,0.005,0.0,0.0,0.0,0.0,0.0,6.483333333333333,5.75,0.18958333333333335,0.28125,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_100.pt,0.23103055555555554,100.0,110985.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333333333,5.95,0.11458333333333333,0.25625,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_150.pt,0.3466611111111111,150.0,166361.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.233333333333333,6.85,0.09583333333333333,0.14375000000000004,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_200.pt,0.4623333333333333,200.0,221813.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.75,0.15000000000000002,0.28125,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_250.pt,0.5781166666666667,250.0,277397.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,5.55,0.19375,0.30625,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_300.pt,0.6937305555555556,300.0,332730.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6000000000000005,6.0,0.17500000000000002,0.25,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_350.pt,0.8094006944444444,350.0,388174.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.216666666666666,6.95,0.09791666666666665,0.13124999999999998,0.2,0.44999999999999996,4.4
intrinsic_only,仅内在奖励,geoexplorer_400.pt,0.9259402777777778,400.0,444145.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,7.35,0.06875000000000002,0.08125000000000004,0.2,0.44999999999999996,4.4
mixed_gate_only,外部+门控内在,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.08999999999999997,0.1383333333333333,0.09375,0.14416666666666667,0.09166666666666667,0.145,0.08125,0.1125,0.10833333333333334,0.05773502691896257,0.175,4.783333333333333,3.9,0.4020833333333333,0.5125,0.175,0.5125,3.9
mixed_gate_only,外部+门控内在,geoexplorer_50.pt,0.11546944444444444,50.0,55315.0,3,0.2155555555555555,0.345,0.16902777777777778,0.28625,0.24250000000000002,0.365,0.18125,0.34375,0.08333333333333333,0.06291528696058958,0.15,3.4,3.05,0.5750000000000001,0.61875,0.175,0.61875,3.05
mixed_gate_only,外部+门控内在,geoexplorer_100.pt,0.22653263888888883,100.0,108746.0,3,0.5333333333333333,0.59,0.5504166666666667,0.615,0.5116666666666666,0.57,0.5812499999999999,0.65,0.5583333333333333,0.16072751268321592,0.675,1.4333333333333333,0.85,0.8208333333333333,0.89375,0.675,0.89375,0.85
mixed_gate_only,外部+门控内在,geoexplorer_150.pt,0.33744652777777767,150.0,161914.0,3,0.515,0.57,0.5054166666666666,0.5625,0.5058333333333334,0.55,0.5520833333333334,0.6375,0.4583333333333333,0.14215601757693316,0.575,1.7166666666666668,0.9,0.7854166666666668,0.8875,0.675,0.89375,0.85
mixed_gate_only,外部+门控内在,geoexplorer_200.pt,0.44763125,200.0,214872.0,3,0.555,0.61,0.5583333333333332,0.6549999999999999,0.5458333333333333,0.5775,0.5791666666666667,0.6625,0.5499999999999999,0.2046338192968112,0.725,1.6333333333333335,0.85,0.7958333333333334,0.89375,0.725,0.89375,0.85
mixed_gate_only,外部+门控内在,geoexplorer_250.pt,0.5574555555555555,250.0,267526.0,3,0.5838888888888889,0.65,0.5965277777777778,0.7275,0.5583333333333332,0.595,0.6479166666666667,0.7375,0.5833333333333334,0.2362907813126304,0.85,1.3166666666666667,0.35,0.8354166666666667,0.95625,0.85,0.95625,0.35
mixed_gate_only,外部+门控内在,geoexplorer_300.pt,0.6669659722222222,300.0,319936.0,3,0.5677777777777777,0.6483333333333333,0.5897222222222221,0.7104166666666666,0.54,0.6,0.6291666666666667,0.73125,0.6,0.22912878474779205,0.8,1.5,0.65,0.8125,0.91875,0.85,0.95625,0.35
mixed_gate_only,外部+门控内在,geoexplorer_350.pt,0.77638125,350.0,372381.0,3,0.5483333333333333,0.635,0.56875,0.7025,0.5208333333333334,0.57,0.6104166666666666,0.7625,0.5750000000000001,0.22912878474779197,0.775,1.5333333333333332,0.6,0.8083333333333332,0.925,0.85,0.95625,0.35
mixed_gate_only,外部+门控内在,geoexplorer_400.pt,0.8861180555555556,400.0,424939.0,3,0.6244444444444445,0.69,0.6680555555555555,0.75625,0.5750000000000001,0.6125,0.7291666666666666,0.85625,0.7000000000000001,0.15206906325745548,0.8,0.9833333333333334,0.4,0.8770833333333332,0.95,0.85,0.95625,0.35
mixed_gate_only,外部+门控内在,geoexplorer_450.pt,0.9949979166666667,450.0,477309.0,3,0.6094444444444443,0.6916666666666667,0.6584722222222222,0.7758333333333334,0.5650000000000001,0.615,0.69375,0.8375,0.7166666666666667,0.15069284433354274,0.875,0.9666666666666668,0.3,0.8791666666666668,0.9625,0.875,0.9625,0.3
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.0861111111111111,0.1283333333333333,0.08388888888888889,0.12541666666666665,0.08916666666666667,0.1325,0.07916666666666666,0.11875,0.08333333333333333,0.038188130791298666,0.125,4.883333333333334,3.9,0.38958333333333334,0.5125,0.125,0.5125,3.9
