role,case_id,method_key,distance,success,path_length,final_distance,sum_external,sum_intrinsic_raw,sum_intrinsic_gated,sum_pbrs,sum_total,mean_gate,first_gate,last_gate
c4_anchor_success,img011_d4_s03_g11_r0,g1_p1_e1_v1,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p1_e1_v1,4,False,10,8,-8.0,-0.089191794395449,-0.16107848905027128,0.005124999999999949,-8.15595348905027,0.985125,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p1_e1_v1,6,True,6,0,7.0,-0.15503722429275646,-0.055532005081574964,0.088125,7.032592994918425,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p1_e1_v1,6,False,10,8,-4.0,2.7133554220199567,2.3871644518772746,0.019624999999999965,-1.5932105481227263,0.881,0.9008333333333334,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g1_p1_e1_v1,8,True,8,0,9.0,3.4581724405288687,2.430597573593258,0.12449999999999999,11.555097573593256,0.6653125,0.925625,0.405
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p1_e1_v1,8,False,10,4,0.0,2.4064624309539777,1.8638042904436576,0.08937499999999997,1.9531792904436571,0.7396875,0.925625,0.7025
three_method_hardcase,img189_d6_s20_g14_r0,g1_p1_e1_v1,6,True,10,0,5.0,4.86120045185089,3.3276121887067935,0.09687499999999998,8.424487188706795,0.6529166666666667,0.9008333333333334,0.405
c4_anchor_success,img011_d4_s03_g11_r0,g1_p0_e1_v1,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p0_e1_v1,4,False,10,6,-8.0,0.06846964359283225,0.004299886450169321,0.0,-7.995700113549829,0.9702500000000001,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p0_e1_v1,6,True,6,0,7.0,-0.15503722429275646,-0.055532005081574964,0.0,6.944467994918425,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p0_e1_v1,6,False,10,6,-4.0,2.901611626148222,2.4171914211908954,0.0,-1.5828085788091044,0.8314166666666667,0.9008333333333334,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g1_p0_e1_v1,8,True,8,0,9.0,3.521054446697234,2.4682570176944125,0.0,11.468257017694413,0.6653125,0.925625,0.405
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p0_e1_v1,8,True,8,0,9.0,2.5501037240028364,1.7484747110679735,0.0,10.748474711067974,0.6653125,0.925625,0.405
three_method_hardcase,img189_d6_s20_g14_r0,g1_p0_e1_v1,6,False,10,2,2.0,4.097103178501128,2.913529748320578,0.0,4.9135297483205775,0.6925833333333333,0.9008333333333334,0.6033333333333333
c4_anchor_success,img011_d4_s03_g11_r0,g1_p0_e0_v1,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p0_e0_v1,4,False,10,6,-8.0,0.6105378270149209,0.5386511323600987,0.0,-7.4613488676399005,0.985125,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p0_e0_v1,6,False,10,2,2.0,0.08062362670898215,0.005612749407687297,0.0,2.005612749407687,0.67275,0.9008333333333334,0.6033333333333333
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p0_e0_v1,6,True,6,0,7.0,1.7731649875640856,1.2162409862875927,0.0,8.216240986287593,0.6529166666666667,0.9008333333333334,0.405
c8_anchor_success,img000_d8_s24_g00_r0,g1_p0_e0_v1,8,True,8,0,9.0,3.4833869934082022,2.429554081968962,0.0,11.429554081968961,0.6653125,0.925625,0.405
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p0_e0_v1,8,True,8,0,9.0,2.5161657333374006,1.7114241554215537,0.0,10.711424155421554,0.6653125,0.925625,0.405
three_method_hardcase,img189_d6_s20_g14_r0,g1_p0_e0_v1,6,False,10,2,2.0,3.4461247920989972,2.472980142037072,0.0,4.472980142037072,0.7124166666666667,0.9008333333333334,0.6033333333333333
c4_anchor_success,img011_d4_s03_g11_r0,g1_p1_e0_v0,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p1_e0_v0,4,False,10,4,-6.0,0.6651368737220742,0.5271720807254294,0.02887499999999999,-5.44395291927457,0.895875,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p1_e0_v0,6,True,6,0,7.0,-0.15503722429275646,-0.055532005081574964,0.088125,7.032592994918425,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p1_e0_v0,6,False,10,8,-2.0,2.7732694149017316,2.3435776766141236,0.01612499999999997,0.35970267661412336,0.8413333333333334,0.9008333333333334,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g1_p1_e0_v0,8,True,8,0,9.0,3.540128529071807,2.4759820210561143,0.12449999999999999,11.600482021056113,0.6653125,0.925625,0.405
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p1_e0_v0,8,False,10,2,4.0,2.472769916057585,1.7292394030466662,0.10387499999999997,5.833114403046665,0.6504375,0.925625,0.55375
three_method_hardcase,img189_d6_s20_g14_r0,g1_p1_e0_v0,6,True,10,0,5.0,3.4461247920989972,2.438040824333825,0.10037499999999998,7.5384158243338275,0.6925833333333333,0.9008333333333334,0.405
c4_anchor_success,img011_d4_s03_g11_r0,g0_p0_e1_v1,4,True,4,0,5.0,0.5053328275680533,0.5053328275680533,0.0,5.505332827568053,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p0_e1_v1,4,False,10,6,-8.0,0.36836415529250877,0.36836415529250877,0.0,-7.631635844707491,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p0_e1_v1,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p0_e1_v1,6,False,10,6,-2.0,2.7732694149017316,2.7732694149017316,0.0,0.7732694149017321,1.0,1.0,1.0
