method_key,distance,success,n,path_length,final_distance,sum_external,sum_intrinsic_raw,sum_intrinsic_gated,sum_pbrs,sum_total,mean_gate,first_gate,last_gate
g0_p0_e0_v0,4,False,1,10.0,4.0,-8.0,1.0206755995750405,1.0206755995750405,0.0,-6.979324400424959,1.0,1.0,1.0
g0_p0_e0_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.0,5.505332827568053,1.0,1.0,1.0
g0_p0_e0_v0,6,False,2,10.0,4.0,-1.0,4.2886346578598005,4.2886346578598005,0.0,3.2886346578598005,1.0,1.0,1.0
g0_p0_e0_v0,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
g0_p0_e0_v0,8,True,2,9.0,0.0,8.0,2.8759366571903215,2.8759366571903215,0.0,10.875936657190323,1.0,1.0,1.0
g0_p0_e0_v1,4,False,2,10.0,5.0,-4.0,0.6092567741870858,0.6092567741870858,0.0,-3.3907432258129138,1.0,1.0,1.0
g0_p0_e0_v1,6,False,2,10.0,4.0,-1.0,3.779353797435759,3.779353797435759,0.0,2.779353797435759,1.0,1.0,1.0
g0_p0_e0_v1,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
g0_p0_e0_v1,8,True,2,8.0,0.0,9.0,2.904828846454619,2.904828846454619,0.0,11.904828846454619,1.0,1.0,1.0
g0_p0_e1_v0,4,False,2,10.0,3.0,-6.0,0.6747743487358071,0.6747743487358071,0.0,-5.3252256512641925,1.0,1.0,1.0
g0_p0_e1_v0,6,False,2,10.0,6.0,-1.0,3.64164501428604,3.64164501428604,0.0,2.6416450142860404,1.0,1.0,1.0
g0_p0_e1_v0,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
g0_p0_e1_v0,8,False,2,10.0,4.0,4.0,3.3703304827213274,3.3703304827213274,0.0,7.370330482721327,1.0,1.0,1.0
g0_p0_e1_v1,4,False,1,10.0,6.0,-8.0,0.36836415529250877,0.36836415529250877,0.0,-7.631635844707491,1.0,1.0,1.0
g0_p0_e1_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.0,5.505332827568053,1.0,1.0,1.0
g0_p0_e1_v1,6,False,2,10.0,4.0,-1.0,3.8582703471183764,3.8582703471183764,0.0,2.858270347118377,1.0,1.0,1.0
g0_p0_e1_v1,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
g0_p0_e1_v1,8,True,2,8.0,0.0,9.0,2.8663345277309404,2.8663345277309404,0.0,11.86633452773094,1.0,1.0,1.0
g0_p1_e0_v0,4,False,1,10.0,4.0,-8.0,0.7798516750335671,0.7798516750335671,0.04812499999999996,-7.172023324966433,1.0,1.0,1.0
g0_p1_e0_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
g0_p1_e0_v0,6,False,2,10.0,4.0,-2.0,3.537645488977431,3.537645488977431,0.06087499999999998,1.598520488977431,1.0,1.0,1.0
g0_p1_e0_v0,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.088125,6.933087775707243,1.0,1.0,1.0
g0_p1_e0_v0,8,True,2,8.0,0.0,9.0,2.720524579286574,2.720524579286574,0.12449999999999999,11.845024579286575,1.0,1.0,1.0
g0_p1_e0_v1,4,False,1,10.0,2.0,-6.0,0.3940266370773293,0.3940266370773293,0.07137499999999997,-5.534598362922671,1.0,1.0,1.0
g0_p1_e0_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
g0_p1_e0_v1,6,False,2,10.0,6.0,-4.0,2.382408082485197,2.382408082485197,0.044624999999999956,-1.5729669175148029,1.0,1.0,1.0
g0_p1_e0_v1,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.15503722429275646,0.088125,6.933087775707243,1.0,1.0,1.0
g0_p1_e0_v1,8,False,2,10.0,2.0,3.0,3.627616465091704,3.627616465091704,0.10649999999999998,6.734116465091704,1.0,1.0,1.0
g0_p1_e1_v0,4,False,1,10.0,8.0,-4.0,0.700792074203489,0.700792074203489,-0.014125000000000032,-3.3133329257965105,1.0,1.0,1.0
g0_p1_e1_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
g0_p1_e1_v0,6,False,1,10.0,4.0,-4.0,2.896942198276518,2.896942198276518,0.06087499999999998,-1.0421828017234818,1.0,1.0,1.0
g0_p1_e1_v0,6,True,2,8.0,0.0,6.0,1.971032977104186,1.971032977104186,0.09337499999999999,8.064407977104185,1.0,1.0,1.0
g0_p1_e1_v0,8,False,1,10.0,2.0,2.0,4.592615067958831,4.592615067958831,0.10737499999999998,6.699990067958831,1.0,1.0,1.0
g0_p1_e1_v0,8,True,1,8.0,0.0,9.0,2.5354770421981794,2.5354770421981794,0.12449999999999999,11.659977042198182,1.0,1.0,1.0
g0_p1_e1_v1,4,False,1,10.0,2.0,-6.0,0.3940266370773293,0.3940266370773293,0.07137499999999997,-5.534598362922671,1.0,1.0,1.0
g0_p1_e1_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
g0_p1_e1_v1,6,False,2,10.0,4.0,-2.0,4.000073373317717,4.000073373317717,0.05824999999999997,2.0583233733177173,1.0,1.0,1.0
g0_p1_e1_v1,6,True,1,10.0,0.0,5.0,-0.12069106101989968,-0.12069106101989968,0.09687499999999998,4.9761839389801015,1.0,1.0,1.0
g0_p1_e1_v1,8,False,2,10.0,2.0,4.0,3.4804905951023084,3.4804905951023084,0.10474999999999998,7.585240595102309,1.0,1.0,1.0
g1_p0_e0_v0,4,False,2,10.0,5.0,-4.0,0.25768131017684714,0.2308721077814679,0.0,-3.769127892218532,0.8586875,0.8512500000000001,0.8512500000000001
g1_p0_e0_v0,6,False,2,10.0,3.0,0.0,3.0712375044822675,2.462265953967967,0.0,2.4622659539679668,0.8215,0.9504166666666667,0.7024999999999999
g1_p0_e0_v0,6,True,1,6.0,0.0,7.0,-0.6446709036827101,-0.3710212823251891,0.0,6.628978717674812,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e0_v0,8,False,1,10.0,2.0,4.0,4.282871186733245,2.897779508642851,0.0,6.897779508642851,0.6504375,0.925625,0.55375
g1_p0_e0_v0,8,True,1,8.0,0.0,9.0,2.4590784907340986,1.7056750397011626,0.0,10.705675039701163,0.6653125,0.925625,0.405
g1_p0_e0_v1,4,False,1,10.0,6.0,-8.0,0.6105378270149209,0.5386511323600987,0.0,-7.4613488676399005,0.985125,0.8512500000000001,1.0
g1_p0_e0_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e0_v1,6,False,2,10.0,2.0,2.0,1.7633742094039897,1.2392964457223796,0.0,3.2392964457223794,0.6925833333333333,0.9008333333333334,0.6033333333333333
g1_p0_e0_v1,6,True,1,6.0,0.0,7.0,1.7731649875640856,1.2162409862875927,0.0,8.216240986287593,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e0_v1,8,True,2,8.0,0.0,9.0,2.9997763633728014,2.070489118695258,0.0,11.070489118695257,0.6653125,0.925625,0.405
g1_p0_e1_v0,4,False,1,10.0,4.0,-6.0,0.9703230857849099,0.800212108939884,0.0,-5.199787891060115,0.9405,0.8512500000000001,1.0
g1_p0_e1_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e1_v0,6,True,3,6.666666666666667,0.0,7.0,1.2941307822863246,0.9283778733180618,0.0,7.9283778733180625,0.6694444444444445,0.9008333333333334,0.405
g1_p0_e1_v0,8,False,2,10.0,4.0,2.0,3.5560122132301317,2.6029009727388606,0.0,4.60290097273886,0.7248125,0.925625,0.7025
g1_p0_e1_v1,4,False,1,10.0,6.0,-8.0,0.06846964359283225,0.004299886450169321,0.0,-7.995700113549829,0.9702500000000001,0.8512500000000001,1.0
g1_p0_e1_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e1_v1,6,False,2,10.0,4.0,-1.0,3.499357402324675,2.665360584755737,0.0,1.6653605847557365,0.762,0.9008333333333334,0.8016666666666666
g1_p0_e1_v1,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.055532005081574964,0.0,6.944467994918425,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e1_v1,8,True,2,8.0,0.0,9.0,3.0355790853500353,2.108365864381193,0.0,11.108365864381193,0.6653125,0.925625,0.405
