branch,role,G_gate,P_pbrs,E_low_entropy,V_val78,transfer_mean,all_benchmark_mean,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissviewmonuments_aerial,swissviewmonuments_ground,masa_d1,masa_d2,masa_d3,checkpoint
g0_p1_e1_v1,factorial_ablation_cell,0,1,1,1,0.32940709219858155,0.33450591016548464,0.36,0.34184397163120567,0.3375886524822695,0.34893617021276596,0.312,0.30666666666666664,0.38,0.36,0.34,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e1_v1_seed321_t480k/geoexplorer.pt
g1_p1_e1_v0,factorial_ablation_cell,1,1,1,0,0.32631678486997634,0.31859732072498026,0.28,0.3475177304964539,0.3446808510638298,0.3304964539007092,0.31022222222222223,0.2986666666666667,0.24,0.4,0.2,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e1_v0_seed321_t480k/geoexplorer.pt
g0_p0_e1_v0,factorial_ablation_cell,0,0,1,0,0.32273853427895977,0.31894877856579984,0.3,0.33900709219858155,0.33191489361702126,0.3276595744680851,0.30577777777777776,0.30933333333333335,0.26,0.38,0.26,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p0_e1_v0_seed321_t480k/geoexplorer.pt
g0_p1_e0_v0,factorial_ablation_cell,0,1,0,0,0.3069919621749409,0.30471552403467295,0.29333333333333333,0.33900709219858155,0.32907801418439714,0.3219858156028369,0.2782222222222222,0.26666666666666666,0.26,0.36,0.26,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e0_v0_seed321_t480k/geoexplorer.pt
g0_p1_e0_v1,factorial_ablation_cell,0,1,0,1,0.3019385342789598,0.30605988967691095,0.32666666666666666,0.3191489361702128,0.30921985815602837,0.30354609929078014,0.30666666666666664,0.27111111111111114,0.32,0.38,0.28,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e0_v1_seed321_t480k/geoexplorer.pt
g1_p0_e0_v0,factorial_ablation_cell,1,0,0,0,0.3008869976359338,0.2874058313632782,0.22,0.3021276595744681,0.29219858156028367,0.30921985815602837,0.3022222222222222,0.2986666666666667,0.22,0.28,0.16,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e0_v0_seed321_t480k/geoexplorer.pt
g1_p0_e1_v0,factorial_ablation_cell,1,0,1,0,0.2864491725768321,0.2775965327029157,0.23333333333333334,0.2794326241134752,0.27801418439716313,0.28368794326241137,0.29333333333333333,0.29777777777777775,0.26,0.2,0.24,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e1_v0_seed321_t480k/geoexplorer.pt
g1_p1_e0_v1,factorial_ablation_cell,1,1,0,1,0.2800794326241135,0.2756217494089835,0.25333333333333335,0.2851063829787234,0.2865248226950355,0.2794326241134752,0.2737777777777778,0.27555555555555555,0.3,0.22,0.24,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e0_v1_seed321_t480k/geoexplorer.pt
g0_p1_e1_v0,factorial_ablation_cell,0,1,1,0,0.2740614657210402,0.26949566587864454,0.24666666666666667,0.29929078014184396,0.2723404255319149,0.29645390070921984,0.24711111111111111,0.2551111111111111,0.28,0.28,0.18,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g0_p1_e1_v0_seed321_t480k/geoexplorer.pt
g1_p0_e0_v1,factorial_ablation_cell,1,0,0,1,0.26435177304964536,0.2614042553191489,0.24666666666666667,0.2822695035460993,0.26382978723404255,0.26099290780141843,0.25422222222222224,0.2604444444444444,0.3,0.24,0.2,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p0_e0_v1_seed321_t480k/geoexplorer.pt
