group,name,method,method_key,method_type,branch,role,G_gate,P_pbrs,E_low_entropy,V_val78,benchmark,paper_table,dataset,goal_mode,fixed_goal_mode,repeats_per_dist,num_images,num_tasks,success_ratio,success_ratio_ci_low,success_ratio_ci_high,sg_mean,avg_steps_on_success,avg_deviation_on_success,d1_trials,d1_success,d1_sr,d1_ci_low,d1_ci_high,d1_sg_mean,d2_trials,d2_success,d2_sr,d2_ci_low,d2_ci_high,d2_sg_mean,d3_trials,d3_success,d3_sr,d3_ci_low,d3_ci_high,d3_sg_mean,output_path,checkpoint,llm_checkpoint
comparison,comparison__random__masa_aerial,Random policy,random,random,,,,,,,masa_aerial,Table 1,masa,aerial,none,5,10,150,0.32,0.25064412359702404,0.39834548649543466,2.2466666666666666,4.5625,2.7916666666666665,50,21,0.42,0.2937479723456693,0.5576680331222217,1.98,50,17,0.34,0.22436769635061063,0.47846431458517147,1.96,50,10,0.2,0.11243629945973886,0.3303737210448524,2.8,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/random/masa_aerial.json,,
comparison,comparison__random__mmgag_aerial,Random policy,random,random,,,,,,,mmgag_aerial,Table 2 Goal=I,mmgag,aerial,none,5,47,705,0.3645390070921986,0.3298333554276723,0.40071293305201056,2.031205673758865,4.124513618677042,2.443579766536965,235,128,0.5446808510638298,0.4807998509720139,0.6071245307102392,1.3829787234042554,235,83,0.35319148936170214,0.294889879326385,0.4162157237176408,1.9404255319148935,235,46,0.19574468085106383,0.1500807336480135,0.2511960958490255,2.7702127659574467,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/random/mmgag_aerial.json,,
comparison,comparison__random__xbd_pre_aerial,Random policy,random,random,,,,,,,xbd_pre_aerial,Table S3 xBD-pre,xbd,aerial,none,5,800,12000,0.3883333333333333,0.37965021755150397,0.397087922678537,1.9726666666666666,3.9553648068669527,2.2618025751072963,4000,2258,0.5645,0.5490796700742044,0.5797965571971242,1.3445,4000,1572,0.393,0.3779733846544382,0.40823194374816385,1.96,4000,830,0.2075,0.1952164519745141,0.2203448429578328,2.6135,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/random/xbd_pre_aerial.json,,
comparison,comparison__random__xbd_disaster_aerial,Random policy,random,random,,,,,,,xbd_disaster_aerial,Table 3 / Table S3 xBD-disaster,xbd-post,aerial,none,5,800,12000,0.3883333333333333,0.37965021755150397,0.397087922678537,1.9726666666666666,3.9553648068669527,2.2618025751072963,4000,2258,0.5645,0.5490796700742044,0.5797965571971242,1.3445,4000,1572,0.393,0.3779733846544382,0.40823194374816385,1.96,4000,830,0.2075,0.1952164519745141,0.2203448429578328,2.6135,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/random/xbd_disaster_aerial.json,,
comparison,comparison__gomaa__masa_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,masa_aerial,Table 1,masa,aerial,none,5,10,150,0.31333333333333335,0.2445479868464793,0.3914412384345891,2.94,2.8297872340425534,0.5957446808510638,50,13,0.26,0.15871379651367387,0.39553421988999915,3.58,50,10,0.2,0.11243629945973886,0.3303737210448524,3.16,50,24,0.48,0.3479691239550571,0.6148848774119157,2.08,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/masa_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__mmgag_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,mmgag_aerial,Table 2 Goal=I,mmgag,aerial,none,5,47,705,0.25673758865248225,0.2258703366854372,0.2902415845110613,3.083687943262411,2.6187845303867405,0.6298342541436464,235,63,0.2680851063829787,0.21551340326277862,0.32811718705314624,3.404255319148936,235,57,0.2425531914893617,0.1921764072130071,0.3012116792844874,3.1829787234042555,235,61,0.25957446808510637,0.2077074846786052,0.3191756043645096,2.6638297872340426,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/mmgag_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__mmgag_ground,GOMAA-Geo,gomaa,gomaa,,,,,,,mmgag_ground,Table 2 Goal=G,mmgag,ground,none,5,47,705,0.275177304964539,0.24349530266625713,0.30929618135499665,3.078014184397163,2.5463917525773194,0.5876288659793815,235,72,0.30638297872340425,0.25094965182745355,0.36804469421611674,3.3063829787234043,235,58,0.24680851063829787,0.1960488063224332,0.30571303081146634,3.2,235,64,0.2723404255319149,0.2194260965948871,0.3325782443574429,2.727659574468085,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/mmgag_ground.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__mmgag_text,GOMAA-Geo,gomaa,gomaa,,,,,,,mmgag_text,Table 2 Goal=T,mmgag,text,none,5,47,705,0.27801418439716313,0.2462131382873617,0.312221355399239,2.9957446808510637,2.4285714285714284,0.5408163265306123,235,81,0.3446808510638298,0.28685245817758087,0.40750564359363484,3.157446808510638,235,56,0.23829787234042554,0.18831111998344408,0.2967032158776454,3.1659574468085108,235,59,0.251063829787234,0.19992819562860054,0.3102073921417041,2.6638297872340426,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/mmgag_text.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__swissviewmonuments_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,swissviewmonuments_aerial,Table 4 Goal=I,swissviewmonuments,aerial,monuments,1,375,1125,0.2817777777777778,0.2562663754624147,0.30877445931901093,3.184888888888889,2.4574132492113563,0.5741324921135647,375,130,0.3466666666666667,0.30027257056463047,0.3961704810960109,3.2506666666666666,375,94,0.25066666666666665,0.2094789823233229,0.2969110234205024,3.3866666666666667,375,93,0.248,0.20699310740953475,0.29411764705882354,2.917333333333333,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/swissviewmonuments_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__swissviewmonuments_ground,GOMAA-Geo,gomaa,gomaa,,,,,,,swissviewmonuments_ground,Table 4 Goal=G,swissviewmonuments,ground,monuments,1,375,1125,0.26222222222222225,0.23735981087124025,0.28870301317776725,3.2791111111111113,2.335593220338983,0.488135593220339,375,125,0.3333333333333333,0.28752313032529303,0.38252366495801265,3.3546666666666667,375,90,0.24,0.19954871187729734,0.2857242887646596,3.477333333333333,375,80,0.21333333333333335,0.1748852899862243,0.25759519790106156,3.005333333333333,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/swissviewmonuments_ground.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__swissview100_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,swissview100_aerial,Table S4,swissview,aerial,none,5,100,1500,0.24866666666666667,0.22745285854220032,0.27116454903583187,3.14,2.3270777479892764,0.48257372654155495,500,164,0.328,0.2882954889726376,0.3703273798019932,3.184,500,103,0.206,0.17285607517585092,0.24362720052032025,3.36,500,106,0.212,0.1784389298803022,0.24995285039349813,2.876,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/swissview100_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__xbd_pre_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,xbd_pre_aerial,Table S3 xBD-pre,xbd,aerial,none,5,800,12000,0.27258333333333334,0.2646898378228064,0.2806223895561354,3.042333333333333,2.446958116783858,0.5460103943748089,4000,1321,0.33025,0.31584411302404003,0.3449816299324244,3.10625,4000,953,0.23825,0.2253028144152848,0.25169947258827685,3.1985,4000,997,0.24925,0.2360891057031623,0.2628920727730291,2.82225,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/xbd_pre_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__gomaa__xbd_disaster_aerial,GOMAA-Geo,gomaa,gomaa,,,,,,,xbd_disaster_aerial,Table 3 / Table S3 xBD-disaster,xbd-post,aerial,none,5,800,12000,0.2748333333333333,0.2669186960337048,0.2828920912062734,3.03925,2.5181928441479684,0.6033959975742874,4000,1309,0.32725,0.3128808331738751,0.3419506666536904,3.12475,4000,961,0.24025,0.22726307455376712,0.25373537453572725,3.218,4000,1028,0.257,0.2436955115824757,0.27077079497670475,2.775,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/gomaa/xbd_disaster_aerial.json,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__dit__masa_aerial,DiT-AGL,dit,dit,,,,,,,masa_aerial,Table 1,masa,aerial,none,5,10,150,0.26666666666666666,0.20237055731073236,0.342615974290603,1.9066666666666667,3.625,1.95,50,19,0.38,0.2586259584257722,0.5184980497760643,1.62,50,15,0.3,0.1910338908960936,0.4375061227736339,1.76,50,6,0.12,0.05617523710624646,0.23805078886623582,2.34,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/dit/masa_aerial.json,,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/dit_agl_baseline/dit_agl/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
comparison,comparison__dit__mmgag_aerial,DiT-AGL,dit,dit,,,,,,,mmgag_aerial,Table 2 Goal=I,mmgag,aerial,none,5,47,705,0.24113475177304963,0.21101492342307288,0.2740604446140174,1.9971631205673759,3.011764705882353,1.2823529411764707,235,79,0.33617021276595743,0.2788360337877654,0.3987745667106402,1.676595744680851,235,58,0.24680851063829787,0.1960488063224332,0.30571303081146634,1.9319148936170212,235,33,0.14042553191489363,0.10176892191828438,0.190649149305489,2.382978723404255,/root/geoexplorer/analysis/short_distance_c123_eval_20260609_161734/eval_json/comparison/dit/mmgag_aerial.json,,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/dit_agl_baseline/dit_agl/checkpoint/formal_pretrain_seed42_e50/formal_falcon.ckpt
