method,dataset,distance,case_id,success,final_distance,path_length,optimal_steps,detour_steps,progress_ratio,monotonic_step_rate,regress_step_rate,immediate_backtrack_rate,revisit_rate,unique_coverage
GeoExplorer-anchor0624,swissviewmonuments,4,img000_d4_s08_g00_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img000_d6_s14_g00_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-anchor0624,swissviewmonuments,8,img000_d8_s24_g00_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img001_d4_s21_g01_r0,False,6,10,4,6,-0.5,0.4,0.6,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img001_d6_s19_g01_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img002_d4_s14_g02_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.36363636363636365,0.6363636363636364
GeoExplorer-anchor0624,swissviewmonuments,6,img002_d6_s20_g02_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,4,img003_d4_s23_g03_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img003_d6_s21_g03_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img004_d4_s06_g04_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img004_d6_s10_g04_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,8,img004_d8_s20_g04_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img005_d4_s21_g05_r0,False,6,10,4,6,-0.5,0.4,0.6,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img005_d6_s19_g05_r0,True,0,10,6,4,1.0,0.8,0.2,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img006_d4_s20_g06_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,6,img006_d6_s24_g06_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img007_d4_s19_g07_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,4,img008_d4_s24_g08_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img008_d6_s20_g08_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,4,img009_d4_s23_g09_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img009_d6_s15_g09_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img010_d4_s18_g10_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,6,img010_d6_s24_g10_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,4,img011_d4_s03_g11_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img012_d4_s04_g12_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img013_d4_s01_g13_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img014_d4_s10_g14_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img014_d6_s00_g14_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img015_d4_s01_g15_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img015_d6_s09_g15_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img016_d4_s14_g16_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img016_d6_s04_g16_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img017_d4_s09_g17_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-anchor0624,swissviewmonuments,4,img018_d4_s06_g18_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img018_d6_s00_g18_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img019_d4_s03_g19_r0,False,4,10,4,6,0.0,0.5,0.5,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img019_d6_s01_g19_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img020_d4_s18_g20_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img020_d6_s02_g20_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,8,img020_d8_s04_g20_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img021_d4_s13_g21_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img021_d6_s03_g21_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img022_d4_s08_g22_r0,False,2,10,4,6,0.5,0.6,0.4,0.4444444444444444,0.36363636363636365,0.6363636363636364
GeoExplorer-anchor0624,swissviewmonuments,6,img022_d6_s00_g22_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img023_d4_s15_g23_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img023_d6_s01_g23_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img024_d4_s04_g24_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img024_d6_s02_g24_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,8,img024_d8_s00_g24_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
