mode,grid,budget,method,method_key,distance,success_ratio,sg_mean,output_path
full,8x8,24,GOMAA-Geo,gomaa,10,0.48,2.26,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/gomaa/masa_aerial_grid8.json
full,8x8,24,GOMAA-Geo,gomaa,11,0.525,1.805,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/gomaa/masa_aerial_grid8.json
full,8x8,24,GOMAA-Geo,gomaa,12,0.7,1.23,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/gomaa/masa_aerial_grid8.json
full,8x8,24,GOMAA-Geo,gomaa,13,0.87,0.48,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/gomaa/masa_aerial_grid8.json
full,8x8,24,GOMAA-Geo,gomaa,14,0.82,0.95,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/gomaa/masa_aerial_grid8.json
full,8x8,24,GeoExplorer,pristine,10,0.385,3.19,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/pristine/masa_aerial_grid8.json
full,8x8,24,GeoExplorer,pristine,11,0.385,3.055,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/pristine/masa_aerial_grid8.json
full,8x8,24,GeoExplorer,pristine,12,0.34,3.13,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/pristine/masa_aerial_grid8.json
full,8x8,24,GeoExplorer,pristine,13,0.415,3.035,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/pristine/masa_aerial_grid8.json
full,8x8,24,GeoExplorer,pristine,14,0.315,2.82,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/pristine/masa_aerial_grid8.json
full,8x8,24,本文方法,anchor0624,10,0.51,1.72,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/anchor0624/masa_aerial_grid8.json
full,8x8,24,本文方法,anchor0624,11,0.66,1.05,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/anchor0624/masa_aerial_grid8.json
full,8x8,24,本文方法,anchor0624,12,0.79,0.63,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/anchor0624/masa_aerial_grid8.json
full,8x8,24,本文方法,anchor0624,13,0.845,0.525,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v2/raw/full/grid8/anchor0624/masa_aerial_grid8.json
