mode,grid,budget,method,method_key,distance,success_ratio,sg_mean,output_path
full,25x25,60,GOMAA-Geo,gomaa,12,0.08,22.76,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,16,0.02,20.52,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,20,0.06,17.16,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,24,0.06,15.84,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,28,0.06,13.56,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,32,0.08,11.16,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,36,0.22,9.52,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,40,0.26,8.96,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,44,0.24,11.12,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GOMAA-Geo,gomaa,48,0.72,4.48,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/gomaa/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,12,0.02,21.6,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,16,0.06,18.84,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,20,0.06,17.64,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,24,0.02,15.92,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,28,0.04,14.44,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,32,0.14,10.96,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,36,0.12,10.84,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,40,0.12,13.04,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,44,0.2,14.48,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
full,25x25,60,GeoExplorer,pristine,48,0.04,18.08,/root/geoexplorer/analysis/pipeline_20260521_ultra_long_grid_stress_v3_grid25/raw/full/grid25/pristine/masa_aerial_grid25.json
